"","quad","year","NRquad","totParea","recArea"
"1","ar5",49,0,0.50000003585592,0
"2","g1",15,0,0.249999994644895,0
"3","g5",15,0,0.249999994644895,0
"4","i1",15,13,223.332400393017,0.058209198383767
"5","i1",16,15,405.214999924236,0.0370173858391338
"6","i1",19,4,528.913199922284,0.00756267758223418
"7","i1",20,2,636.697800032469,0.00314120764968563
"8","i1",21,2,503.800049711213,0.00396982890562721
"9","i1",22,0,134.756999830466,0
"10","i1",23,3,213.876199747726,0.0140268061782405
"11","i1",24,25,188.377500003177,0.132712240047662
"12","i1",25,0,310.761599709394,0
"13","i1",26,1,150.65634958074,0.00663762266099565
"14","i1",27,0,15.0134999805314,0
"15","i1",28,6,22.7439999709664,0.263805839239326
"16","i1",29,6,167.465449956729,0.0358282857840248
"17","i1",30,14,188.225300046897,0.0743789490387946
"18","i1",31,3,255.837049816242,0.011726214018473
"19","i1",32,5,179.383199961809,0.0278732902583102
"20","i1",33,0,186.050399859239,0
"21","i1",34,11,72.3440001740647,0.152051310039993
"22","i1",35,2,197.742649858294,0.0101141559569129
"23","i1",36,1,275.543599916947,0.00362918971916392
"24","i1",37,9,214.036849883302,0.0420488341372387
"25","i1",38,4,261.547599983508,0.0152935832722312
"26","i1",42,6,282.341000118191,0.0212508987270298
"27","i1",43,13,270.727999778991,0.0480186756102529
"28","i1",44,1,396.890500018236,0.00251958663650063
"29","i1",45,5,419.389999721591,0.0119220773106636
"30","i1",46,0,462.641499804476,0
"31","i1",49,4,607.063999720804,0.00658909110380396
"32","i1",50,4,720.019100018694,0.00555540818277758
"34","i3",15,6,290.310000022754,0.0206675622594114
"35","i3",18,7,231.31255024535,0.0302620847531844
"36","i3",19,9,308.62300004626,0.0291617928626544
"37","i3",20,3,670.093999500718,0.00447698382948553
"38","i3",21,0,491.081099923856,0
"39","i3",22,2,66.3399999942886,0.030147723849445
"40","i3",23,17,240.642499719297,0.0706442129708179
"41","i3",24,1,890.111500391328,0.00112345475770211
"42","i3",25,3,720.374250117974,0.00416450199255276
"43","i3",26,1,1161.21090019041,0.00086117000782203
"44","i3",27,5,1427.22880060559,0.0035032925329691
"45","i3",28,0,1323.77089937634,0
"46","i3",29,1,764.674650005357,0.00130774571903619
"47","i3",30,1,521.729749900054,0.00191670112772286
"48","i3",31,2,442.373299900711,0.00452106851939051
"49","i3",32,4,467.582299874406,0.00855464375164417
"50","i3",33,3,571.636650265399,0.00524808897156465
"51","i3",34,0,296.676399854794,0
"52","i3",35,3,174.133199828222,0.0172281908502194
"53","i3",36,0,305.190799832908,0
"54","i3",37,0,364.753950275668,0
"55","i3",38,4,776.874699728083,0.00514883545750693
"56","i3",42,8,161.511500051646,0.049532076647433
"57","i3",43,6,196.989550461409,0.0304584684108684
"58","i3",44,0,227.49249964294,0
"59","i3",45,2,298.842799894787,0.00669248180215196
"60","i3",46,1,397.288599848107,0.00251706190507939
"61","i3",49,5,354.662999826775,0.0140978901166519
"62","i3",50,1,537.105100100555,0.00186183300030624
"64","j22",21,7,102.967399779818,0.0679826820427493
"65","j22",27,4,92.9149998621806,0.0430500996172108
"66","j22",28,3,150.126349777746,0.0199831675414831
"67","j22",29,2,231.639283200323,0.0086341140948463
"68","j22",30,6,191.502249743605,0.0313312246098057
"69","j22",31,7,171.754070179216,0.0407559482735743
"70","j22",32,7,193.655100129345,0.0361467371389889
"71","j22",33,1,340.731499888521,0.00293486220184273
"72","j22",34,0,199.323899841419,0
"73","j22",35,6,186.49870031251,0.0321718059694035
"74","j22",36,6,182.134200033441,0.0329427422136993
"75","j22",37,1,246.603599728873,0.00405509084660339
"76","j22",38,3,302.835399793443,0.00990637158682979
"77","j22",43,6,41.0699999395362,0.146092038199008
"78","j22",44,2,106.330000255855,0.0188093670195385
"79","j22",49,5,175.597000207237,0.0284742905294457
"80","j22",50,2,165.855000241874,0.0120587259780128
"82","j9",19,2,403.601500183741,0.00495538296832269
"83","j9",20,0,426.148549763062,0
"84","j9",21,1,503.306799815988,0.00198685970538369
"85","j9",27,4,516.655050344359,0.00774210955130301
"86","j9",28,10,633.824500252888,0.0157772380146399
"87","j9",29,0,613.085000062761,0
"88","j9",30,3,250.874999621243,0.0119581465053482
"89","j9",31,1,320.676699886255,0.00311840554787642
"90","j9",32,1,213.788000102737,0.00467753100978279
"91","j9",33,0,207.27000016005,0
"92","j9",34,6,184.780000026191,0.0324710466454678
"93","j9",35,6,79.4369999916289,0.0755315533143533
"94","j9",36,1,165.381600297166,0.00604662186242695
"95","j9",37,4,154.169999609074,0.0259453850304386
"96","j9",38,0,125.552499998788,0
"97","j9",42,0,38.9650000384683,0
"98","j9",43,0,21.7949999461253,0
"99","j9",44,0,49.1740000416749,0
"100","j9",49,0,63.8745000043763,0
"101","j9",50,0,61.0899999743234,0
"103","k1",18,18,107.089999819607,0.168082921190783
"104","k1",19,3,359.62900007701,0.00834193015401312
"105","k1",20,1,197.222500108972,0.00507041539097957
"106","k1",21,6,332.480000500549,0.0180461982403964
"107","k1",24,3,400.542199925574,0.00748984751308961
"108","k1",25,1,148.661500173608,0.00672669116638935
"109","k1",26,0,148.316999801881,0
"110","k1",27,1,118.970549792108,0.00840544152941569
"111","k1",28,0,93.7311498739651,0
"112","k1",29,0,95.5652002094258,0
"113","k1",30,4,89.2039001500165,0.0448410887110664
"114","k1",31,2,80.6387999826554,0.0248019563836538
"115","k1",32,1,69.798000098245,0.0143270580617272
"116","k1",35,1,102.28980009345,0.00977614580423876
"117","k1",36,1,81.2275998090756,0.0123110864084435
"118","k1",37,1,113.430600056592,0.0088159632365613
"119","k1",42,0,40.921999945122,0
"120","k1",43,1,14.0090000358378,0.0713826823785998
"121","k1",44,1,49.6403999897341,0.0201448819954474
"122","k1",49,0,9.82399988348387,0
"123","k1",50,0,14.0374999997788,0
"125","l1",15,1,73.6630500803032,0.0135753270996769
"126","l1",20,1,6.54695000090934,0.152742880251278
"127","l1",21,0,5.60620001497791,0
"128","l1",24,0,7.69499995449558,0
"129","l3",18,6,241.163499860787,0.0248793868204083
"130","l3",19,0,383.871499783572,0
"131","l3",20,0,516.692999202641,0
"132","l3",21,0,509.754099853735,0
"133","l3",22,11,170.224499866465,0.0646205452718564
"134","l3",23,10,389.944949992937,0.0256446454818331
"135","l3",24,8,793.732250342409,0.0100789655410233
"136","l3",28,6,1744.04209955568,0.00344028392521521
"137","l3",29,5,2536.4227001839,0.00197128026004399
"138","l3",30,3,2012.94344971107,0.00149035483357995
"139","l3",31,0,3002.39489901591,0
"140","l3",32,0,2743.78585019983,0
"141","l3",33,0,2921.07324981225,0
"142","l3",34,0,1563.1261000492,0
"143","l3",35,1,1132.00719968601,0.000883386607680032
"144","l3",36,0,2003.02330023202,0
"145","l3",37,0,2084.23980034193,0
"146","l3",43,2,2319.59510144219,0.000862219444573112
"147","l3",44,0,2042.96250042141,0
"149","l3a",29,5,190.169999944845,0.0262922648233168
"150","l3a",30,27,292.854999962797,0.092195796566321
"151","l3a",31,13,769.672499925815,0.0168903007464253
"152","l3a",32,7,1055.23060026711,0.00663362112340954
"153","l3a",33,0,1355.91139929056,0
"154","l3a",34,4,875.414449946471,0.00456926430703147
"155","l3a",35,15,455.321000078311,0.0329437912976123
"156","l3a",36,26,1285.41629973215,0.0202269101499784
"157","l3a",37,14,1802.59825027424,0.00776656695293592
"158","l3a",43,9,1301.31549980817,0.0069160783847781
"159","l3a",44,0,1958.55450061214,0
"160","l4",18,11,123.395999996989,0.0891438944558041
"161","l4",19,1,235.27650000697,0.00425031824245249
"162","l4",20,1,150.031500034279,0.00666526695908207
"163","l4",21,2,193.015550167456,0.0103618594370497
"164","l4",22,7,35.8649999442184,0.195176356082176
"165","l4",23,2,100.250000170141,0.0199501246544206
"166","l4",24,0,139.092000347013,0
"167","l4",28,2,670.187272327792,0.00298424049900755
"168","l4",29,1,1146.56389981887,0.000872171189201031
"169","l4",30,1,917.421499708984,0.00109001151631743
"170","l4",31,0,958.210298871861,0
"171","l4",32,3,946.485000662724,0.00316962233727889
"172","l4",33,0,1082.92299960843,0
"173","l4",34,0,733.840099667928,0
"174","l4",35,13,214.957799847533,0.0604769866886467
"175","l4",36,3,616.540500058155,0.00486586039314048
"176","l4",37,12,669.162649778342,0.0179328598270913
"177","l4",43,1,1046.25400024811,0.000955790849796375
"178","l4",44,1,1103.16100033465,0.000906485997689045
"180","t7",28,0,15.721999955547,0
"181","t7",29,0,13.736500016791,0
"182","t7",30,0,11.8335000644517,0
"183","t7",31,0,9.66700000893744,0
"184","t7",32,0,4.18149997247988,0
"185","t7",33,0,14.7409000066734,0
"186","t7",34,0,8.02349999245349,0
"187","t7",35,0,7.87599999613687,0
"188","y1",18,1,4.32499994402751,0.231213875824651
"189","y1",23,2,7.20500001505019,0.277585009829604
"190","y1",24,0,17.9425499531278,0
"191","y1",25,0,14.084499917456,0
"192","y1",26,0,25.9764998282377,0
"193","y1",27,0,68.688500193519,0
"194","y1",28,0,29.9774999164593,0
"195","y1",29,0,34.6209999937992,0
"196","y1",30,0,21.8265499911192,0
"197","y1",31,0,41.7673498895112,0
"198","y1",32,0,28.204999995376,0
"199","y1",33,0,25.4837500448188,0
"200","y1",34,0,25.2265999643078,0
"201","y1",35,0,11.0771000268819,0
"202","y1",36,0,9.9875001122884,0
"203","y1",37,0,5.44979998260019,0
