"quad","year","totCover"
"Q19",2007,705.279304389689
"Q2",2007,3718.5135506837
"Q20",2007,878.838071500747
"Q23",2007,55.8059618588365
"Q24",2007,581.212424661771
"Q25",2007,3475.54778711719
"Q26",2007,2181.94790079809
"Q3",2007,4722.79311462495
"Q4",2007,2503.55221306188
"Q19",2008,860.737005195268
"Q2",2008,4875.90908787951
"Q20",2008,1005.77232769062
"Q23",2008,56.749008001177
"Q24",2008,1023.57780608958
"Q25",2008,4501.07168873128
"Q26",2008,3019.19755490466
"Q3",2008,4803.63214219897
"Q4",2008,3154.25667018284
"Q19",2009,1368.66350372659
"Q2",2009,3992.76977262624
"Q20",2009,1248.50745323178
"Q23",2009,74.474596202951
"Q24",2009,1313.77743782879
"Q25",2009,2633.89125960881
"Q26",2009,2499.61023506519
"Q3",2009,5531.7252170538
"Q4",2009,3494.30792168748
"Q19",2010,1059.89625202797
"Q2",2010,3894.65485940974
"Q20",2010,1829.05321521731
"Q23",2010,87.096874427772
"Q24",2010,1285.48219106148
"Q25",2010,3988.53650105878
"Q26",2010,4659.71782166876
"Q3",2010,4185.96524404519
"Q4",2010,3229.92479220271
"Q19",2011,1113.28748331145
"Q2",2011,4485.99206033973
"Q20",2011,2049.54093749819
"Q23",2011,65.176453248835
"Q24",2011,1366.0704878039
"Q25",2011,828.240482989501
"Q26",2011,3932.70061905215
"Q3",2011,4460.81907482806
"Q31",2011,2535.84516515919
"Q32",2011,2114.38158208871
"Q33",2011,4894.85644729743
"Q39",2011,5676.64128165969
"Q4",2011,2886.36585312484
"Q40",2011,1504.87884491531
"Q41",2011,1078.49473535692
"Q43",2011,181.104098146139
"Q44",2011,115.416255001186
"Q45",2011,3469.7630321098
"Q46",2011,781.317752580056
"Q47",2011,3159.55450650289
"Q48",2011,670.070642279762
"Q49",2011,1355.25917078945
"Q50",2011,3941.85526635569
"Q51",2011,8086.90163588692
"Q52",2011,3248.16494130427
"Q53",2011,2196.23610279013
"Q54",2011,2293.47314788904
"Q55",2011,1684.53457262591
"Q56",2011,2000.101669972
"Q57",2011,2143.30503586445
"Q58",2011,2854.84142691599
"Q59",2011,1583.09211369441
"Q60",2011,2223.08203865415
"Q61",2011,6533.39171819283
"Q62",2011,1423.34740174854
"Q19",2012,887.380751005706
"Q2",2012,4536.06029189327
"Q20",2012,2269.25925996165
"Q23",2012,107.918152524853
"Q24",2012,1249.31322689537
"Q25",2012,1815.15995001082
"Q26",2012,3714.49281822243
"Q3",2012,4786.5524345107
"Q31",2012,2498.23241041334
"Q32",2012,2453.94834797753
"Q33",2012,4607.65750747161
"Q39",2012,5632.44188955272
"Q4",2012,2570.70886175749
"Q40",2012,1700.19022992497
"Q41",2012,1425.45389288064
"Q43",2012,114.891707290703
"Q44",2012,153.564547172454
"Q45",2012,3286.35508437573
"Q46",2012,936.623503675112
"Q48",2012,874.753889832204
"Q49",2012,397.932907835076
"Q51",2012,7241.76910653223
"Q55",2012,1526.2877721785
"Q57",2012,1586.62428589413
"Q58",2012,2488.44773721996
"Q60",2012,1755.76422800885
"Q61",2012,4.66547842457901
"Q62",2012,1278.91932017251
"Q19",2013,1161.97628874794
"Q2",2013,3633.84566640567
"Q20",2013,2285.49042823289
"Q23",2013,63.2418383022435
"Q24",2013,1121.18941479884
"Q25",2013,2090.48482134241
"Q26",2013,2748.86479036183
"Q3",2013,4401.98289976377
"Q31",2013,2672.7881053431
"Q32",2013,2541.81354638001
"Q33",2013,5407.79887787411
"Q39",2013,5892.734121107
"Q4",2013,2520.04383301203
"Q40",2013,1459.37976243516
"Q41",2013,1497.37059298036
"Q43",2013,155.345523835795
"Q44",2013,221.517265054057
"Q45",2013,3662.31551763579
"Q46",2013,1078.89016902063
"Q48",2013,1293.87616226017
"Q51",2013,5795.31971942519
"Q55",2013,1199.99251561206
"Q57",2013,2067.23480709765
"Q58",2013,3319.12781666973
"Q60",2013,2429.10789937103
"Q62",2013,1486.18745979407
"Q1",2014,27.524940915213
"Q19",2014,1328.61158082711
"Q2",2014,3534.06744598887
"Q20",2014,2525.32540791018
"Q21",2014,3.31130455557349
"Q23",2014,101.95288958885
"Q24",2014,1568.27952373333
"Q25",2014,1471.56062253597
"Q26",2014,1994.29002600253
"Q3",2014,3991.43704404034
"Q31",2014,1978.13531488554
"Q32",2014,2201.6308432727
"Q33",2014,6260.48713846695
"Q39",2014,3972.33396024355
"Q4",2014,2153.99111059837
"Q40",2014,1525.4613153253
"Q41",2014,1303.49033441027
"Q43",2014,344.241424707105
"Q44",2014,367.389033220596
"Q45",2014,2903.8544850288
"Q46",2014,1426.0034188943
"Q48",2014,1319.84944573789
"Q51",2014,6478.48159780405
"Q55",2014,518.643245445502
"Q57",2014,2024.84998817894
"Q58",2014,3237.83134916384
"Q60",2014,1515.02447332564
"Q62",2014,1036.06789317517
"Q1",2015,27.048965303501
"Q19",2015,1467.38634142187
"Q2",2015,4266.10619343245
"Q20",2015,2584.09245696226
"Q21",2015,49.0939867034461
"Q23",2015,44.775826217445
"Q24",2015,953.575761414188
"Q25",2015,1555.92182092477
"Q26",2015,2215.57014709465
"Q3",2015,3756.59148575097
"Q31",2015,2710.44676279762
"Q32",2015,1973.88039346266
"Q33",2015,5650.99744549297
"Q39",2015,2268.34574891872
"Q4",2015,2265.01964237267
"Q40",2015,1958.23294861438
"Q41",2015,908.171472698908
"Q43",2015,449.142932287368
"Q44",2015,365.298964571594
"Q45",2015,3124.8850833797
"Q46",2015,1882.92239468682
"Q48",2015,1793.55627903912
"Q51",2015,6440.47727736583
"Q52",2015,40.640132313878
"Q55",2015,609.931625260926
"Q57",2015,1904.88817511949
"Q58",2015,3947.18920227389
"Q60",2015,2056.01946901668
"Q62",2015,1049.37338414062
