"year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC"
1979,2.4,5,8.5,12.4,17.5,22.7,26.1,22.8,21.3,14.1,2.7,3.1
1980,5.6,6.6,8.5,11.6,17.3,25.3,27.1,25.9,21.6,13.9,6.7,5.1
1981,4.9,5.6,8.7,15.4,19,24.7,26.7,23.8,21.2,15.1,9,5.6
1982,4.1,6.4,10.3,16,17.2,22.7,26.3,25.8,21.6,14.4,8,3
1983,4.5,6,9.1,10.9,16.4,21.6,19.2,20.4,23.3,15.7,9.4,5.1
1984,3.2,6.4,10.2,13.9,21.5,24,25.8,23.7,20.6,12.9,7.7,4.5
1985,3.2,5.2,10.3,14.9,18.8,23.2,25.4,24.4,19.9,14.8,8.8,3.9
1986,4.5,8.7,10.7,15.6,18.4,23.5,25.1,25,20.9,14.1,7.6,3.8
1987,2.2,5.2,7.7,12.9,17.4,22.8,24.9,24.2,19.7,16.5,7.1,1.9
1988,2.4,6.4,8.8,12.5,18.3,23.2,25.1,24,19.6,16.6,8.8,3.7
1989,3,7.2,12,16.1,19.6,26,22.9,24.4,20.7,14.7,8.4,2
1990,2.9,4.8,10.2,15.1,18.4,26.7,25.2,23.1,21.8,14.5,8.9,3.7
1991,3.9,7.3,8.5,13.4,18.5,22.5,24.6,23.9,19.9,15.4,7.4,3.9
1992,1.5,6.1,9.5,14.7,18.2,21.4,25.1,24.3,21.2,15.4,5.9,3.5
1993,6,6.9,9.8,14,19,23.4,26.1,27,20.9,14.1,7.2,3.7
1994,3.8,5.3,10.7,14.5,19.6,26.9,27.6,27,21.9,15.1,6.2,5.5
1995,4.7,9.4,10.9,12.5,18.5,23.8,25.7,26.6,21.7,15.3,10.2,5
1996,4.6,9.5,9.8,14.7,21.4,26.5,27.1,24.8,20.5,15.3,8.8,4
1997,3.4,6.3,11.5,13.2,20.3,23.3,26.1,24.9,23.6,14.5,8.5,1.9
1998,4.7,5.1,9.3,11.8,19.2,23,27.1,25.4,23.4,15.5,10,5
1999,5.4,9.8,12,13.7,19.3,23.6,26,27.2,24.4,15.3,9,3
2000,4.8,10.7,12.4,15.5,20.7,26.9,25.8,25.2,22,17.3,7.8,4
2001,4.9,7.3,10.2,13.7,19.8,24.3,26.4,25,21.7,15.9,8.9,3.5
2002,4.4,4.8,9.8,16.1,19,26,25.9,25.1,21.5,14.7,7.3,3.6
2003,4.9,6.3,9.9,13.7,18.9,23.5,27.1,25.9,22,17.1,8.3,3.3
2004,3.8,3.9,11.5,14.7,19.6,23.6,25.9,23.7,20.2,15.5,7.7,3.4
2005,5.1,7.1,9.3,13.7,19.2,23.9,26.5,24.8,22.5,15.3,8.5,4.4
2006,4.2,6.7,10.5,15.6,20.7,25.6,26.9,24.2,18.8,14.5,9,2.9
2007,2.4,6.3,9.9,13.1,19,23.8,25.6,25.6,22.3,15.3,9.2,4.2
2008,2.9,6.3,9.7,12.6,18.3,24.8,24.8,24.4,19.5,13.5,7.4,7.2
