"quad","year","trackID","area","x","y","allEdge","totCover","age"
"A1P",17,"-Inf",0.250488518417365,98.33984375,36.57836914,1,0.250488518417365,NA
"C1P",15,"1",8.319420919822,1.71682840317148,78.8774855320844,1,485.047856515541,NA
"C1P",15,"10",1.76318432267923,24.8604800736631,49.6254557158885,0,485.047856515541,NA
"C1P",15,"11",3.192061762378,17.825990328333,53.1190695409068,0,485.047856515541,NA
"C1P",15,"12",112.018777266943,12.9222928305456,44.3038121870197,0,485.047856515541,NA
"C1P",15,"15",3.35921557641582,5.00350931205528,27.4547072617752,0,485.047856515541,NA
"C1P",15,"17",3.45627211662838,20.9230233321994,4.19746884912281,0,485.047856515541,NA
"C1P",15,"20",2.62808911820296,61.2413046493201,18.9705397541172,0,485.047856515541,NA
"C1P",15,"21",2.65012514957319,65.1197277896888,13.7985451017972,0,485.047856515541,NA
"C1P",15,"24",78.0823278334579,76.7045504379906,7.12074050547372,0,485.047856515541,NA
"C1P",15,"25",6.13603732226193,98.5104161573435,3.48957835488681,1,485.047856515541,NA
"C1P",15,"27",5.1790421691757,88.1129996015748,8.43618793249631,0,485.047856515541,NA
"C1P",15,"28",3.23965651927739,93.9069000486928,8.91428239179566,0,485.047856515541,NA
"C1P",15,"29",20.2809120615738,76.7417233086184,27.1364855257738,0,485.047856515541,NA
"C1P",15,"30",2.36362659259262,99.1153104985562,30.5974310873566,1,485.047856515541,NA
"C1P",15,"31",58.3049611344759,95.0261263155015,46.2230468125104,0,485.047856515541,NA
"C1P",15,"33",4.78235050488034,97.5666785181436,56.2368288697785,1,485.047856515541,NA
"C1P",15,"36",12.8925108637605,95.2653210906761,62.0468320350007,0,485.047856515541,NA
"C1P",15,"37",34.3855360290987,67.4184067354401,56.0421608299201,0,485.047856515541,NA
"C1P",15,"39",11.4104232591003,83.1194346071639,65.2907006486993,0,485.047856515541,NA
"C1P",15,"4",10.3360439422222,23.9883476125161,70.2795633148549,0,485.047856515541,NA
"C1P",15,"50",49.6526914730555,88.9840230539188,85.7665936925008,0,485.047856515541,NA
"C1P",15,"53",8.22586213064627,84.4507404255698,95.4629107135672,0,485.047856515541,NA
"C1P",15,"55",26.9165346336855,75.9713148213621,97.9886694767124,1,485.047856515541,NA
"C1P",15,"7",12.3556197196348,4.9969381542091,69.8454286981187,0,485.047856515541,NA
"C1P",15,"9",3.11657409399999,28.9270562186652,56.9845138357378,0,485.047856515541,NA
"C1P",16,"1",2.27841403456459,2.49379376941745,78.199340522752,1,225.743298685281,2
"C1P",16,"11",3.41762212675981,17.5986803946872,55.2236836396256,0,225.743298685281,2
"C1P",16,"12",21.0187617185613,18.3024309236092,45.0121044983912,0,225.743298685281,2
"C1P",16,"15",4.2181944046855,4.36847637053197,26.2308015804347,0,225.743298685281,2
"C1P",16,"17",6.1009231072065,19.7254419953614,4.31381830896985,0,225.743298685281,2
"C1P",16,"20",3.62935922310026,61.7114119371625,19.7174238108814,0,225.743298685281,2
"C1P",16,"21",5.41356078088784,65.0922952272333,14.4071874397474,0,225.743298685281,2
"C1P",16,"24",3.58133556965643,79.3211368094669,7.12204062437562,0,225.743298685281,2
"C1P",16,"25",2.52544116911274,99.1859755170187,2.55909002210645,1,225.743298685281,2
"C1P",16,"27",16.5048070628881,89.9808714861569,8.95299606966936,0,225.743298685281,2
"C1P",16,"29",2.60611931923408,74.9811748449323,28.3541344857134,0,225.743298685281,2
"C1P",16,"30",5.50221785735561,97.9461356052554,31.572122535047,1,225.743298685281,2
"C1P",16,"31",7.21852164314754,94.5143515899071,45.5782731487349,0,225.743298685281,2
"C1P",16,"33",8.1720034473349,93.2607141094254,55.010947685233,0,225.743298685281,2
"C1P",16,"36",17.2872996289453,95.322401427947,62.0171380417278,0,225.743298685281,2
"C1P",16,"37",1.68560805550533,70.6276911040462,55.1477773339698,0,225.743298685281,2
"C1P",16,"39",12.5551484188762,82.5006111207304,63.8904138684399,0,225.743298685281,2
"C1P",16,"4",4.76663456474165,22.9706998761478,70.1215761343626,0,225.743298685281,2
"C1P",16,"50",62.7030894953068,89.1436317725962,87.9973959530559,0,225.743298685281,2
"C1P",16,"55",8.15451317913393,76.7073526672841,96.289092386244,0,225.743298685281,2
"C1P",16,"56",1.79806898155966,35.2121683156819,83.6525110522542,0,225.743298685281,1
"C1P",16,"57",5.20648981966999,20.7258043252234,77.9249167994364,0,225.743298685281,1
"C1P",16,"58",0.96044149454048,76.1473000451707,50.7322766882704,0,225.743298685281,1
"C1P",16,"59",2.75387854870547,75.4980825393007,77.4265093557291,0,225.743298685281,1
"C1P",16,"60",4.21799935852417,80.243091704986,76.6172617541069,0,225.743298685281,1
"C1P",16,"61",0.250488518417359,21.39892578,17.79785156,0,225.743298685281,1
"C1P",16,"62",0.250488518417359,62.18261719,25.51879883,0,225.743298685281,1
"C1P",16,"63",0.250488518417357,60.41870117,27.39868164,0,225.743298685281,1
"C1P",16,"64",0.24743377819061,54.27856445,49.81994629,0,225.743298685281,1
"C1P",16,"65",0.250488518417361,77.80151367,50.98266602,0,225.743298685281,1
"C1P",16,"66",0.247433783195497,55.380249025,51.78222656,0,225.743298685281,1
"C1P",16,"67",0.250488523422237,41.5222168,72.021484375,0,225.743298685281,1
"C1P",16,"68",0.250488518417357,67.05932617,75.36010742,0,225.743298685281,1
"C1P",16,"69",0.250488518417357,34.16137695,78.88183594,0,225.743298685281,1
"C1P",16,"7",6.57574497152346,5.10912747718497,69.411395926574,0,225.743298685281,2
"C1P",16,"9",2.64281350844122,27.4965886870543,56.963070683443,0,225.743298685281,2
