"year","pptLag","ppt1","TmeanSum1","ppt2","TmeanSum2"
1915,38.5,206,19.2571428571429,215,20.3142857142857
1916,19.5,215,20.3142857142857,114,18.6142857142857
1917,25.4,114,18.6142857142857,154,20.6571428571429
1918,15.9,154,20.6571428571429,256,18.7428571428571
1919,36.2,256,18.7428571428571,264,20.4285714285714
1920,29.4,264,20.4285714285714,154,20.4714285714286
1921,22.4,154,20.4714285714286,146,20.1714285714286
1922,11.5,146,20.1714285714286,129,20.3714285714286
1923,25.3,129,20.3714285714286,118,21.2857142857143
1924,18.7,118,21.2857142857143,160,20.8
1925,15.4,160,20.8,360,20.7285714285714
1926,38.8,360,20.7285714285714,163,20.7142857142857
1927,29.1,163,20.7142857142857,198,20.3
1928,16.9,198,20.3,228,20.8428571428571
1929,31,228,20.8428571428571,154,21.3571428571429
1930,21.5,154,21.3571428571429,202,21.5571428571429
1931,29.1,202,21.5571428571429,245,19.6857142857143
1932,32.2,245,19.6857142857143,200,21.0142857142857
1933,26.9,200,21.0142857142857,104,22.4
1934,11.3,104,22.4,220,20.9857142857143
1935,27.1,220,20.9857142857143,203,20.9857142857143
1936,27,203,20.9857142857143,175,20.4571428571429
1937,23.1,175,20.4571428571429,257,20.2
1938,31.7,257,20.2,147,20.4
1939,21.4,147,20.4,225,20.9142857142857
1940,28.4,225,20.9142857142857,330,19.9
1941,43.1,330,19.9,168,20.9857142857143
1942,25.3,168,20.9857142857143,149,21.7714285714286
1943,19.8,149,21.7714285714286,155,20.3571428571429
1944,22.7,155,20.3571428571429,99,20.7857142857143
1945,15.5,99,20.7857142857143,224,21.6142857142857
1946,27.7,224,21.6142857142857,174,21.2428571428571
1947,21.8,174,21.2428571428571,251,21.6857142857143
1948,37.1,251,21.6857142857143,339,20.8
1949,49,339,20.8,199,21.2571428571429
1950,34.9,199,21.2571428571429,82,21.6142857142857
1951,16.2,82,21.6142857142857,139,21.3714285714286
1952,20.6,139,21.3714285714286,54,21.4857142857143
1953,8.9,54,21.4857142857143,184,22.0428571428571
1954,14.1,184,22.0428571428571,150,19.6142857142857
1955,20.4,150,19.6142857142857,77,20.2
1956,12.6,77,20.2,214,20.2714285714286
1957,20.3,214,20.2714285714286,258,20.6285714285714
1958,35.9,258,20.6285714285714,217,19.5857142857143
1959,26.3,217,19.5857142857143,99,19.0857142857143
1960,12.9,99,19.0857142857143,248,19.5571428571429
1961,33.5,248,19.5571428571429,334,19.7285714285714
1962,38.5,334,19.7285714285714,118,18.1
1963,17.7,118,18.1,189,20.1142857142857
1964,22.8,189,20.1142857142857,99,20.9714285714286
1965,12.9,99,20.9714285714286,137,21.1571428571429
1966,20.7,137,21.1571428571429,151,20.8285714285714
1967,17.1,151,20.8285714285714,146,20.1142857142857
1968,25.5,146,20.1142857142857,192,21.5857142857143
1969,23,192,21.5857142857143,122,19.8714285714286
1970,19.4,122,19.8714285714286,164,20.6714285714286
1971,15.6,164,20.6714285714286,300,20.5428571428571
1972,32.5,300,20.5428571428571,145,19.3857142857143
1973,32.5,145,19.3857142857143,351,20.3285714285714
1974,29.1,351,20.3285714285714,179,19.4142857142857
1975,31.3,179,19.4142857142857,237,19.7714285714286
1976,25.9,237,19.7714285714286,142,21.2857142857143
1977,20.2,142,21.2857142857143,256,20.8857142857143
1978,29.9,256,20.8857142857143,174,19.5571428571429
1979,34.6,174,19.5571428571429,148,20.3857142857143
1980,22.2,148,20.3857142857143,229,20.8428571428571
1981,26.7,229,20.8428571428571,213,20.5714285714286
1982,26.1,213,20.5714285714286,164,18.2142857142857
1983,24.4,164,18.2142857142857,404,20.3428571428571
1984,45.4,404,20.3428571428571,270,20.2
1985,38.3,270,20.2,247,20.3714285714286
1986,31.4,247,20.3714285714286,196,19.7714285714286
1987,34.5,196,19.7714285714286,206,19.9
1988,28,206,19.9,197,20.6285714285714
1989,27.1,197,20.6285714285714,203,20.6857142857143
1990,24.4,203,20.6857142857143,265,19.7428571428571
1991,33.3,265,19.7428571428571,249,20.0428571428571
1992,39,249,20.0428571428571,185,20.6428571428571
1993,29.7,185,20.6428571428571,140,21.8
1994,18.9,140,21.8,160,20.5857142857143
1995,28.3,160,20.5857142857143,274,21.4714285714286
1996,27.1,274,21.4714285714286,312,20.8428571428571
1997,37.8,312,20.8428571428571,160,20.7714285714286
1998,19.1,160,20.7714285714286,278,21.3571428571429
1999,35.5,278,21.3571428571429,274,21.9142857142857
2000,26,274,21.9142857142857,130,20.9714285714286
2001,26.6,130,20.9714285714286,209,21.1857142857143
2002,22.3,209,21.1857142857143,80,21.1714285714286
2003,18.4,80,21.1714285714286,318,20.4571428571429
2004,35.7,318,20.4571428571429,178,20.8428571428571
2005,32.2,178,20.8428571428571,406,20.9
2006,35.6,406,20.9,242,20.6714285714286
2007,38.7,242,20.6714285714286,293,19.7
