"quad","year","totCover"
"C1P",16,17.1851654035242
"C1P",17,61.8915111267676
"C1P",18,49.4587841411625
"D1P",18,7.54259053881142
"K1P",19,21.4289871664572
"C1P",20,19.3668833916616
"D1P",20,13.0390683636754
"K1P",20,85.4605334653986
"C1P",21,29.0514127798159
"C5P",21,13.2108666988451
"D1P",21,11.9917369445282
"D5P",21,3.12573725952871
"K1P",21,44.7562352544918
"K2P",21,14.1767783545721
"C1P",22,152.613730011244
"C5P",22,8.18077322113067
"D1P",22,8.16452237044126
"D5P",22,1.90508868250039
"K1P",22,56.9404113659326
"K2P",22,36.487737376208
"C1P",23,132.594055101376
"D1P",23,16.4477062721786
"D5P",23,5.05974285676123
"FH6",23,15.3742643351776
"C1P",24,115.441937849167
"C5P",24,4.32193145461983
"D1P",24,21.5978632079838
"D5P",24,3.43649246699972
"FH11",24,1.27602827080077
"FH14",24,7.35149460518574
"FH6",24,11.2224263958176
"K1P",24,40.9894675562948
"K2P",24,11.5969059957147
"C1P",25,130.996944907722
"D1P",25,15.0094544820786
"D5P",25,0.748410820960998
"FH10",25,3.81191112190446
"FH11",25,3.57216017170315
"FH14",25,12.5172728280687
"FH8",25,0.25048851966858
"K1P",25,3.88475139871738
"NA25",26,21.6240509112433
"NB24",26,43.1898583889923
"NB25",26,21.7208775420027
"C1P",27,367.861947475018
"D1P",27,54.0667610348347
"FH10",27,35.323715036573
"FH11",27,39.6637921498796
"FH14",27,18.5352338843805
"K1P",27,16.6649800485646
"NA24",27,0.2504885196686
"NA25",27,44.3306820761794
"NB24",27,87.0149527929992
"NB25",27,100.6499937005
"C1P",28,455.22355132018
"C5P",28,12.2766642732265
"FH10",28,22.4035215347961
"FH11",28,28.6466833441477
"FH14",28,44.3913378819627
"FH6",28,0.25048851966858
"FH8",28,7.94168384786514
"NA24",28,9.54022662289662
"NA25",28,27.6490814762403
"NA27",28,4.72714002703979
"NB24",28,40.1678685812545
"NB25",28,7.38836099985381
"C1P",29,496.057185887613
"C5P",29,30.8476614265638
"FH10",29,33.5373583615548
"FH11",29,46.03019727198
"FH14",29,28.2597045540024
"FH6",29,1.00195407867432
"FH8",29,13.2949845206768
"NA24",29,34.9185377353545
"NA25",29,18.0637920620889
"NA26",29,5.55455472955822
"NA27",29,12.5605540224016
"NA28",29,13.9234087294644
"NB24",29,9.46267324301249
"NB25",29,2.25134193897248
"C1P",30,495.473194964713
"C5P",30,91.5048132275206
"D5P",30,0.75757503509522
"FH10",30,28.6880687909889
"FH11",30,59.8529972203944
"FH14",30,23.3185786487257
"FH6",30,25.5261197011657
"FH8",30,9.9202823549221
"NA24",30,45.6893665166184
"NA25",30,25.1128558248591
"NA26",30,21.2348070588913
"NA27",30,27.1134892494
"NA28",30,66.5074671631973
"NA29",30,20.5928637550227
"NB24",30,5.09970031155213
"NB25",30,21.5417394833136
"C1P",31,212.595923644693
"C5P",31,389.664405034509
"D5P",31,57.1616890866658
"FH10",31,61.6605173234836
"FH11",31,160.051019364791
"FH14",31,84.4853247394813
"FH6",31,81.2701590217761
"FH8",31,34.6951287852991
"NA24",31,135.623479654501
"NA25",31,37.9188043333614
"NA26",31,17.6817769104836
"NA27",31,42.5218867073213
"NA28",31,138.619317192846
"NA29",31,13.987736768977
"NB25",31,55.3456222798351
"C1P",32,140.378586473515
"C5P",32,234.767243415088
"D5P",32,80.5076018092255
"FH10",32,75.1335134819434
"FH11",32,151.268723069766
"FH14",32,51.470549030911
"FH6",32,38.4829044367215
"FH8",32,35.8726329117551
"NA24",32,150.791223936892
"NA25",32,23.8107800839331
"NA26",32,0.75146555900574
"NA27",32,32.1846587487708
"NA28",32,116.443115661661
"NA29",32,14.3371329873445
"NB25",32,28.4082677135347
"NA24",33,96.9005282881891
"NA25",33,45.1286421011994
"NA26",33,44.0106965516459
"NA27",33,12.6636960191381
"NA28",33,164.403815442831
"NB25",33,24.7196251505773
"C1P",34,54.3566029287641
"FH11",34,132.959396440175
"NA24",34,4.06127965260533
"NA25",34,14.4001146354356
"NA26",34,2.00085341930389
"NA27",34,0.74535608291626
"NA28",34,57.9423578007313
"NA29",34,1.38646091512422
"NA25",35,12.5984822323587
"NA27",35,38.9869349600374
"NA28",35,93.6325914061074
"NA29",35,0.50097703933716
