"","X","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group"
"1",1,"C1P",16,57,2.99645320367141,5.20648983187538,1,0,18.5976650922504,"C"
"2",2,"C1P",16,58,0.50097703933716,0.96044148895321,1,0,23.2304229928391,"C"
"3",3,"C1P",16,59,10.2385800978269,2.75387854489659,1,0,21.6112150628436,"C"
"4",4,"C1P",16,60,4.66843472605772,4.21799935084365,1,0,18.323403599416,"C"
"5",5,"C1P",16,61,0.2596527338028,0.25048851966858,1,0,17.547607421875,"C"
"6",6,"C1P",16,63,3.36424775528632,0.25048851966858,1,0,27.1484375,"C"
"7",7,"C1P",16,65,2.96352588128003,0.25048851966858,1,0,21.9482421875,"C"
"8",8,"C1P",16,68,0.24743378162384,0.25048851966858,1,0,24.3896484375,"C"
"9",9,"C1P",16,69,0.25048851966858,0.25048851966858,1,0,20.867919921875,"C"
"10",10,"C1P",17,57,0.74436038533669,2.99645320367141,2,0,20.5779800016119,"C"
"11",11,"C1P",17,59,3.0776471286422,10.2385800978269,2,0,13.7455854452445,"C"
"12",12,"C1P",17,60,0.25048851966858,4.66843472605772,2,0,18.34716796875,"C"
"13",13,"C1P",17,65,1.50858580075702,2.96352588128003,2,0,16.6131736476555,"C"
"14",14,"C1P",17,72,0.60757698081876,2.03125077254734,1,0,11.7244356921502,"C"
"15",15,"C1P",17,74,41.7522362004384,20.0387891694061,1,0,3.68019615697151,"C"
"16",16,"C1P",20,61,2.83928841669516,7.55233409466434,5,0,17.4145661146787,"C"
"17",17,"C1P",20,74,4.64498478593777,3.51168437034614,4,0,8.4013497626935,"C"
"18",18,"C1P",20,96,3.18826247354872,0.25048851966858,4,0,10.430908203125,"C"
"19",19,"C1P",21,115,9.21999808036717,0.93064445241559,1,0,41.4511630849622,"C"
"20",20,"C1P",21,116,7.43725241575496,1.42273164518366,1,0,7.34052375388043,"C"
"21",21,"C1P",21,117,14.5865221032884,6.09448276814411,1,0,23.1265442211504,"C"
"22",22,"C1P",21,118,6.64703677190056,2.03218055298171,1,0,24.144509268095,"C"
"23",23,"C1P",21,119,0.24743378162384,0.24743378162384,1,0,20.867919921875,"C"
"24",24,"C1P",21,120,2.91639108257656,0.25048851966858,1,0,7.40966796875,"C"
"25",25,"C1P",21,121,7.48296348708725,0.25048851966858,1,0,23.809814453125,"C"
"26",26,"C1P",21,123,3.0809515199476,0.25048851966858,1,0,33.612060546875,"C"
"27",27,"C1P",21,124,0.86623212398109,0.25048851966858,1,0,16.387939453125,"C"
"28",28,"C1P",21,126,0.25048851966858,0.25048851966858,1,0,8.428955078125,"C"
"29",29,"C1P",21,127,0.25048851966858,0.25048851966858,1,1,2.7099609375,"C"
"30",30,"C1P",21,59,9.83160658515075,3.40821140780563,6,0,18.75,"C"
"31",31,"C1P",21,61,10.7444757591518,2.83928841669516,6,0,17.9092414411526,"C"
"32",32,"C1P",21,74,0.25048851966858,4.64498478593777,5,0,7.44939744282986,"C"
"33",33,"C1P",21,96,25.2167193155044,3.18826247354872,5,0,8.2275390625,"C"
"34",34,"C1P",22,109,0.98021195832864,2.88439191204147,5,0,30.1219061655624,"C"
"35",35,"C1P",22,115,15.4497173615018,9.21999808036717,2,0,38.4722354412608,"C"
"36",36,"C1P",22,116,13.95057067645,7.43725241575496,2,0,6.25549074149038,"C"
"37",37,"C1P",22,117,8.0298491822609,14.5865221032884,2,0,22.9552199041007,"C"
"38",38,"C1P",22,118,1.52342555514675,6.64703677190056,2,0,24.9506242283076,"C"
"39",39,"C1P",22,120,0.80419775209262,2.91639108257656,2,0,9.43317230177502,"C"
"40",40,"C1P",22,121,17.2250220136103,7.48296348708725,2,0,22.9552199041007,"C"
"41",41,"C1P",22,123,11.1434628286538,3.0809515199476,2,0,30.3594435361937,"C"
"42",42,"C1P",22,126,1.07125295723674,0.25048851966858,2,0,9.8876953125,"C"
"43",43,"C1P",22,128,1.63874397698377,3.67519987678134,1,0,5.78358617054994,"C"
"44",44,"C1P",22,131,1.62964079045426,0.7793804620007,1,0,10.7177662366932,"C"
"45",45,"C1P",22,133,2.24568483627075,0.25048851966858,1,0,32.8125,"C"
"46",46,"C1P",22,59,20.183869703693,9.83160658515075,7,0,20.6911790734016,"C"
"47",47,"C1P",22,61,6.88879713277621,10.7444757591518,7,0,17.2426197801627,"C"
"48",48,"C1P",22,65,1.75152832996497,0.25048851966858,7,0,13.76953125,"C"
"49",49,"C1P",22,96,12.9841386596582,25.2167193155044,6,0,6.29019732689862,"C"
"50",50,"C1P",23,115,15.5407652317295,15.4497173615018,3,0,39.8579829206154,"C"
"51",51,"C1P",23,116,19.2854446240682,13.95057067645,3,0,5.88142278416406,"C"
"52",52,"C1P",23,117,4.90625447473303,8.0298491822609,3,0,23.1766671365262,"C"
"53",53,"C1P",23,120,4.00687526730813,0.80419775209262,3,0,13.4383534742265,"C"
"54",54,"C1P",23,121,12.7468964473671,17.2250220136103,3,0,21.3069105574236,"C"
"55",55,"C1P",23,123,14.6649010912384,11.1434628286538,3,0,27.4991906621939,"C"
"56",56,"C1P",23,128,3.60650873313113,1.63874397698377,2,0,7.32140573274674,"C"
"57",57,"C1P",23,139,5.11468143049214,2.35093570852414,1,1,-1.99242861098625e-07,"C"
"58",58,"C1P",23,141,4.65098876486688,3.09844017257141,1,0,10.2818529081153,"C"
"59",59,"C1P",23,144,7.77038319441372,1.85724279378146,1,0,7.16559298110575,"C"
"60",60,"C1P",23,59,14.3627961096177,20.183869703693,8,0,17.6050642482531,"C"
