"","quad","year","SP_ID","Species","area","x","y","age","survives","dormancy","trackID","distEdgeMin","allEdge"
"27","C1P",16,0,"Hilaria belangeri",1.79806898602764,35.212168316226,83.6525110505743,1,0,0,56,15.6904937884441,0
"28","C1P",16,1,"Hilaria belangeri",5.20648983187538,20.7258043266195,77.9249167989705,1,1,0,57,18.5976650922504,0
"52","C1P",16,25,"Hilaria belangeri",0.96044148895321,76.1473000444616,50.7322766876172,1,1,0,58,23.2304229928391,0
"59","C1P",16,32,"Hilaria belangeri",2.75387854489659,75.4980825409073,77.4265093567055,1,1,0,59,21.6112150628436,0
"63","C1P",16,44,"Hilaria belangeri",4.21799935084365,80.2430917066481,76.61726175409,1,1,0,60,18.323403599416,0
"67","C1P",16,48,"Hilaria belangeri",0.25048851966858,21.39892578125,17.7978515625,1,1,0,61,17.547607421875,0
"68","C1P",16,49,"Hilaria belangeri",0.25048851966858,62.1826171875,25.518798828125,1,0,0,62,25.2685546875,0
"69","C1P",16,50,"Hilaria belangeri",0.25048851966858,60.418701171875,27.398681640625,1,1,0,63,27.1484375,0
"75","C1P",16,56,"Hilaria belangeri",0.24743378162384,54.278564453125,49.8199462890625,1,0,0,64,45.47119140625,0
"77","C1P",16,58,"Hilaria belangeri",0.25048851966858,77.801513671875,50.982666015625,1,1,0,65,21.9482421875,0
"78","C1P",16,59,"Hilaria belangeri",0.24743378162384,55.3802490234375,51.7822265625,1,0,0,66,44.37255859375,0
"81","C1P",16,62,"Hilaria belangeri",0.25048851966858,41.522216796875,72.021484375,1,0,0,67,27.728271484375,0
"82","C1P",16,63,"Hilaria belangeri",0.25048851966858,67.059326171875,75.360107421875,1,1,0,68,24.3896484375,0
"85","C1P",16,66,"Hilaria belangeri",0.25048851966858,34.161376953125,78.8818359375,1,1,0,69,20.867919921875,0
"86","C1P",17,2,"Hilaria belangeri",1.59701154479821,27.8287247737515,81.6750839319203,1,0,0,70,17.79270642208,0
"87","C1P",17,3,"Hilaria belangeri",1.31506453354992,24.1538556174941,76.8722947446292,2,0,0,57,22.4761040683657,0
"88","C1P",17,4,"Hilaria belangeri",1.68138867012149,21.4126638148464,77.5447578253371,2,1,0,57,20.5779800016119,0
"90","C1P",17,6,"Hilaria belangeri",1.59495309653683,34.8376381419469,68.1532660792413,1,0,0,71,31.0730246659779,0
"97","C1P",17,13,"Hilaria belangeri",2.03125077254734,12.558508430802,32.3935179698662,1,1,0,72,11.7244356921502,0
"99","C1P",17,15,"Hilaria belangeri",1.93452472742584,12.6599315758333,30.2859233764458,1,0,0,73,11.5961220565202,0
"100","C1P",17,16,"Hilaria belangeri",20.0387891694061,10.1981580035648,6.02320479481019,1,1,0,74,3.68019615697151,0
"102","C1P",17,18,"Hilaria belangeri",3.11375923561774,57.0750697268034,27.8465888793786,2,0,0,63,27.1613383141938,0
"116","C1P",17,32,"Hilaria belangeri",2.96352588128003,81.906527499346,46.6654680285626,2,1,0,65,16.6131736476555,0
"123","C1P",17,39,"Hilaria belangeri",4.16745768672056,77.6550073724793,75.8748244787359,2,1,0,60,20.7833220905368,0
"132","C1P",17,48,"Hilaria belangeri",9.98809157815833,76.1203433652615,84.0316909219052,2,1,0,59,13.7455854452445,0
"139","C1P",17,57,"Hilaria belangeri",1.44615344386201,1.25305050478296,62.3117116206218,1,0,0,75,0.637291412843188,1
"141","C1P",17,63,"Hilaria belangeri",0.2596527338028,59.2681884765625,3.558349609375,1,0,0,76,3.30810546875,1
"148","C1P",17,70,"Hilaria belangeri",0.25048851966858,35.46142578125,17.3583984375,1,0,0,77,17.108154296875,0
"149","C1P",17,71,"Hilaria belangeri",0.2596527338028,19.677734375,19.5281982421875,2,1,0,61,19.268798828125,0
"150","C1P",17,72,"Hilaria belangeri",0.25048851966858,85.1806640625,19.720458984375,1,0,0,78,14.569091796875,0
"152","C1P",17,74,"Hilaria belangeri",0.25048851966858,19.622802734375,26.9775390625,1,0,0,79,19.37255859375,0
"153","C1P",17,75,"Hilaria belangeri",0.24743378162384,50.482177734375,27.4200439453125,1,0,0,80,27.1728515625,0
"154","C1P",17,76,"Hilaria belangeri",0.25048851966858,53.680419921875,27.679443359375,1,0,0,81,27.42919921875,0
"155","C1P",17,77,"Hilaria belangeri",0.25048851966858,59.33837890625,28.839111328125,2,0,0,63,28.5888671875,0
"156","C1P",17,78,"Hilaria belangeri",0.24743378162384,54.901123046875,30.3802490234375,1,0,0,82,30.133056640625,0
"158","C1P",17,80,"Hilaria belangeri",0.23826956748962,20.709228515625,30.6396484375,1,0,0,83,20.47119140625,0
"159","C1P",17,81,"Hilaria belangeri",0.25048851966858,21.8017578125,33.697509765625,1,0,0,84,21.551513671875,0
"167","C1P",17,89,"Hilaria belangeri",0.25048851966858,78.521728515625,49.49951171875,2,0,0,58,21.22802734375,0
"173","C1P",17,95,"Hilaria belangeri",0.24743378162384,2.099609375,52.0599365234375,1,0,0,85,1.849365234375,1
"174","C1P",17,96,"Hilaria belangeri",0.25048851966858,79.998779296875,52.642822265625,2,0,0,58,19.7509765625,0
"188","C1P",17,110,"Hilaria belangeri",0.24743378162384,16.7999267578125,63.739013671875,1,0,0,86,16.552734375,0
