"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge"
"1","q15",33,19,21.37865,0,1,-0.0235137939453125,1
"2","q15",33,22,21.99697,0,1,0.0183029174804688,0
"3","q15",33,23,37.37521,0,1,5.10063171386719,0
"4","q15",33,20,19.25692,0,1,-0.0198287963867188,1
"5","q15",33,24,24.35325,1,1,7.68246412277222,0
"6","q15",33,21,83.92502,0,1,-0.016143798828125,0
"7","q15",71,25,147.075,0,1,24.0951690673828,0
"8","q16",33,5,21.8522,0,1,-0.00289154052734375,1
"9","q18",33,5,170.4292,0,1,8.5836067199707,0
"10","q19",33,11,124.6698,1,1,31.2947254180908,0
"11","q19",33,12,16.11205,1,1,20.0914916992188,0
"12","q19",33,10,5.838617,0,1,5.16722106933594,0
"13","q19",33,13,22.15948,0,1,-0.0755648389458656,1
"14","q2",71,-Inf,89.28867,0,1,-0.0739287808537483,0
"15","q20",33,16,167.7945,1,1,-0.00402202643454075,0
"16","q20",33,17,11.54538,1,1,-0.0242143739014864,1
"17","q20",33,15,374.5265,1,1,35.5854263305664,0
"18","q21",34,36,2.687862,1,1,10.3184967041016,0
"19","q21",34,37,4.621192,0,1,16.0237503051758,0
"20","q21",61,38,34.08208,1,1,8.07094478607178,0
"21","q21",62,39,9.168869,1,1,30.8242645263672,0
"22","q21",64,40,26.56285,1,1,14.7623748779297,0
"23","q21",65,41,27.5804,1,1,18.6240463256836,0
"24","q21",66,43,29.38654,1,1,-0.0239105224609375,0
"25","q21",66,42,36.5278,1,1,0.0199737548828125,0
"26","q21",67,44,11.25822,1,1,14.5397262573242,0
"27","q22",35,37,3.529583,0,1,0.56158447265625,1
"28","q22",46,38,27.61364,1,1,5.03554153442383,0
"29","q22",47,39,10.64289,1,1,0.373510181903839,1
"30","q22",50,60,1.289394,0,1,5.00656747817993,0
"31","q22",50,61,2.847957,0,1,3.7898268699646,0
"32","q22",50,63,1.064968,0,1,2.41174221038818,1
"33","q22",50,59,1.597672,1,1,14.2586517333984,0
"34","q22",50,62,2.053809,0,1,3.47864508628845,0
"35","q22",50,47,1.711279,0,1,6.21211290359497,0
"36","q22",50,46,1.216947,0,1,10.6214141845703,0
"37","q22",50,53,0.7409354,0,1,11.1434059143066,0
"38","q22",50,44,1.998455,0,1,15.6758117675781,0
"39","q22",50,43,6.401705,1,1,9.89316558837891,0
"40","q22",50,40,1.028995,0,1,7.74778747558594,0
"41","q22",50,48,4.361379,0,1,8.57086181640625,0
"42","q22",50,51,1.841244,0,1,36.2390022277832,0
"43","q22",50,45,6.043396,1,1,13.9311904907227,0
"44","q22",50,49,4.31814,1,1,18.7953414916992,0
"45","q22",50,54,1.202446,0,1,39.1969184875488,0
"46","q22",50,42,4.322227,0,1,22.6013946533203,0
"47","q22",50,52,1.45792,0,1,5.11132669448853,0
"48","q22",50,57,1.311479,0,1,3.89968681335449,1
"49","q22",50,55,2.352,0,1,39.5246887207031,0
"50","q22",50,58,1.634938,0,1,18.3900146484375,0
"51","q22",50,41,1.122051,0,1,22.2509155273438,0
"52","q22",50,50,9.958625,0,1,-0.575883030891418,1
"53","q22",50,56,3.135968,0,1,42.195125579834,0
"54","q22",51,64,0.551297,0,1,0.168075561523438,1
"55","q22",51,66,8.104637,0,1,4.41535949707031,0
"56","q22",51,67,8.486526,0,1,5.92298126220703,0
"57","q22",51,65,10.14356,0,1,0.230598449707031,1
"58","q22",51,69,5.859862,1,1,6.34738254547119,0
"59","q22",51,68,7.470227,0,1,10.1779699325562,0
"60","q22",55,71,6.416821,1,1,0.229362487792969,1
"61","q22",55,70,28.97814,1,1,-0.0741500854492188,1
"62","q22",58,72,20.41358,1,1,20.1202926635742,0
"63","q22",58,73,25.95866,1,1,0.179340854287148,1
"64","q22",71,76,0.7251846,0,1,7.79817581176758,0
"65","q22",71,77,0.7251846,0,1,14.2034969329834,0
"66","q23",35,26,12.15313,1,1,-0.0061798095703125,1
"67","q23",35,25,17.1506,0,1,13.7265014648438,0
"68","q23",43,27,467.5706,1,1,9.00656032562256,0
"69","q23",47,28,16.53938,1,1,-0.226737976074219,1
"70","q23",49,29,3.007841,1,1,4.32278823852539,0
"71","q23",50,38,2.637424,0,1,18.4922866821289,0
"72","q23",50,39,1.251483,0,1,36.6161918640137,0
"73","q23",50,37,0.7196993,0,1,7.86539459228516,0
"74","q23",50,35,1.93308,0,1,15.1453018188477,0
"75","q23",50,34,0.7196991,0,1,2.62496280670166,1
"76","q23",50,30,7.374501,1,1,1.71516418457031,0
"77","q23",50,36,1.567639,0,1,17.3116016387939,0
"78","q23",50,32,0.7562237,0,1,3.78461527824402,1
"79","q23",50,33,2.247504,1,1,16.3559894561768,0
"80","q23",50,40,1.967326,0,1,1.24599659442902,1
"81","q23",50,31,6.741023,0,1,5.67029571533203,0
"82","q23",51,42,9.836246,1,1,5.81759643554688,0
"83","q23",51,44,13.50972,0,1,0.0412368774414062,1
"84","q23",51,41,8.901044,0,1,2.98200225830078,0
"85","q23",51,45,6.485992,0,1,28.9428958892822,0
"86","q23",51,43,6.911193,0,1,12.1127014160156,0
"87","q23",55,46,0.7163137,0,1,6.66055297851562,0
"88","q23",67,48,73.18846,1,1,-0.465286254882812,1
