"species","quad","year","genetID","ANGE.0.2","ANGE.2.4","ANGE.4.6","ANGE.6.8","ANGE.8.10","ANGE.10.12","ANGE.12.14","ANGE.14.16","ANGE.16.18","ANGE.18.20","ANGE.20.25","ANGE.25.30","ANGE.30.35","ANGE.35.40","ANGE.40.45","ANGE.45.50","ANGE.50.60","ANGE.60.70","ANGE.70.80","ANGE.80.90","ANGE.90.100","ANGE.100.110","ANGE.110.120","ANGE.120.130","ANGE.130.140","ANGE.140.150","BOCU.0.2","BOCU.2.4","BOCU.4.6","BOCU.6.8","BOCU.8.10","BOCU.10.12","BOCU.12.14","BOCU.14.16","BOCU.16.18","BOCU.18.20","BOCU.20.25","BOCU.25.30","BOCU.30.35","BOCU.35.40","BOCU.40.45","BOCU.45.50","BOCU.50.60","BOCU.60.70","BOCU.70.80","BOCU.80.90","BOCU.90.100","BOCU.100.110","BOCU.110.120","BOCU.120.130","BOCU.130.140","BOCU.140.150","BOHI.0.2","BOHI.2.4","BOHI.4.6","BOHI.6.8","BOHI.8.10","BOHI.10.12","BOHI.12.14","BOHI.14.16","BOHI.16.18","BOHI.18.20","BOHI.20.25","BOHI.25.30","BOHI.30.35","BOHI.35.40","BOHI.40.45","BOHI.45.50","BOHI.50.60","BOHI.60.70","BOHI.70.80","BOHI.80.90","BOHI.90.100","BOHI.100.110","BOHI.110.120","BOHI.120.130","BOHI.130.140","BOHI.140.150","SCSC.0.2","SCSC.2.4","SCSC.4.6","SCSC.6.8","SCSC.8.10","SCSC.10.12","SCSC.12.14","SCSC.14.16","SCSC.16.18","SCSC.18.20","SCSC.20.25","SCSC.25.30","SCSC.30.35","SCSC.35.40","SCSC.40.45","SCSC.45.50","SCSC.50.60","SCSC.60.70","SCSC.70.80","SCSC.80.90","SCSC.90.100","SCSC.100.110","SCSC.110.120","SCSC.120.130","SCSC.130.140","SCSC.140.150","propQ.0.2","propQ.2.4","propQ.4.6","propQ.6.8","propQ.8.10","propQ.10.12","propQ.12.14","propQ.14.16","propQ.16.18","propQ.18.20","propQ.20.25","propQ.25.30","propQ.30.35","propQ.35.40","propQ.40.45","propQ.45.50","propQ.50.60","propQ.60.70","propQ.70.80","propQ.80.90","propQ.90.100","propQ.100.110","propQ.110.120","propQ.120.130","propQ.130.140","propQ.140.150"
"SCSC","q15",33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.98951966012828e-13,0,0,0,3.89573262980304,41.0766947425538,219.692604901901,236.31709086765,154.817329067343,71.7635921365395,113.466717237845,124.68114443414,194.521476227523,354.821412896467,619.395401214188,773.239004690018,646.780097434678,72.1112667439638,0,0,0,0,1,1,0.95800504247052,0.867893174830837,0.802452465784006,0.755580191082051,0.720858342428328,0.694254818476883,0.673277523590005,0.656338304083266,0.625544968293397,0.604834381984514,0.582406067694705,0.549249990002498,0.519784167869446,0.494713963772987,0.455388290326695,0.423246068420038,0.382653650527298,0.346090808240264,0.30820792040395,0.261918597426713,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.09614450694703,14.1310454269228,22.0154817598776,30.6386224889185,35.0380739946995,42.4943381691029,56.8748888898954,78.7593525412142,178.408404475348,168.821179575658,142.37713993617,218.954380580665,327.839261177774,334.129414725019,702.18261612336,926.526714894075,450.90260776872,21.9783082869553,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0.966381619142949,0.892099219015121,0.818226483765486,0.754733759901008,0.660618033142256,0.589174018299354,0.482900541316889,0.391375993538273,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4210854715202e-14,0,0,0,0,0,0.823424760022398,13.9889353536883,41.7879934140842,169.677034997716,261.223410327567,299.122908634171,354.971904701687,480.886335982712,618.425352416037,837.550331070923,586.614240445753,67.5554212326374,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0.996820027975662,0.959378448246445,0.918041040178679,0.880689947582951,0.846945445681163,0.717321676189315,0.60130798447477,0.492324325509898,0.393039817396786,0.3183622520897,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6277878825214,15.385583219146,10.9828272765513,47.3810246797743,121.268588091509,110.829006799677,86.9383278480773,114.648280669164,176.040130540078,464.429982835567,824.724084057002,699.371296725739,600.352383536434,210.685800535176,0,0,0,0,0,1,1,1,1,1,1,1,0.99955925575319,0.976000871204057,0.945449377324809,0.874932213595277,0.779660393432128,0.697655194088613,0.636171902338524,0.588843167837816,0.551468757133165,0.496465923442748,0.458108920272865,0.421938564041788,0.370097729788495,0.312872025350569,0.262903889034229,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.22043412804751,20.4525192556563,37.7944704500885,50.0944399991025,55.6590548456346,64.4082299754495,67.5185371837921,73.496138723785,187.18027743546,217.316616150253,136.830002206277,64.5160678586021,172.489058526872,244.893403046573,574.199820018645,774.656663890205,676.152853375679,199.442735741521,96.057481431279,2.31386159136991,0,0,0,0,1,1,1,1,1,1,1,0.995056613240149,0.966757524972148,0.935003072089811,0.864599544279937,0.785431498994525,0.704165434919711,0.642486479071718,0.594763175734911,0.556963797835153,0.501191761602153,0.462214692051966,0.422540629270454,0.371054964832047,0.313304565503799,0.262974474859096,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.74171849769032,7.69846834361864,2.28556237238333,0,7.64116666551373,32.4409606222937,54.5275696387887,50.6259261881403,52.4729515138488,81.1569177552386,87.435823670381,92.5473402630533,191.332571170589,249.822577625421,334.573042239126,857.584994973689,600.882915176648,654.425286023603,394.432426473353,0,0,0,0,0,0,1,1,1,1,1,1,0.994448967627927,0.96122851869526,0.925039381647272,0.891564217004595,0.823679288293854,0.77422376958509,0.73731234137706,0.708914552020721,0.679405889098986,0.640303707717305,0.570989147072094,0.495699674272265,0.434617611318459,0.381390561936153,0.317825784847989,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.44315700118613,6.88299868715221,5.32730110025304,26.1286912087316,40.0105264055723,35.5519137050662,34.7593192995001,37.6293314603302,48.0892200351012,87.0348898668698,7.0045216074177,81.1846777782133,181.799967649355,244.506345636333,207.529005261888,807.72565837805,664.79344683118,655.474205236741,525.422735787306,52.2128231845309,0,0,0,0,0,1,1,1,1,1,0.995184081791314,0.956383961734702,0.914825367226359,0.877519166381126,0.845188371136513,0.782548792902161,0.738256913521362,0.705641617114458,0.676483363155842,0.634258662704385,0.597291949646851,0.539231748786533,0.478199222063778,0.422183430227071,0.375025889331441,0.316225327151007,0.263109299250869,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0343101872957,10.4719793786976,20.8822183058953,14.9278218101444,10.3573283105569,14.4866692257117,32.811641148087,52.73002238238,71.5030757248643,211.391156435812,213.375138210565,146.2963840147,155.182515173985,175.92722250001,173.229303914228,417.443335601591,748.051731489491,775.325109674097,364.394727564718,123.816938672294,9.47334123353403,0,0,0,0,1,1,1,1,0.999245714930387,0.956733136377657,0.908636788342008,0.866566367255998,0.831094295799515,0.801278345128695,0.74495970423217,0.704105008536548,0.645305918103644,0.59624568825954,0.55693170514969,0.525127343024076,0.477272378767586,0.443231617363544,0.401560233878546,0.361897556510418,0.310965768863545,0.262550679710919,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.838731733790485,16.1289961009956,48.4822752889927,74.5898187339432,79.8271697143282,79.6411135185376,88.1339624336959,85.2978040832842,135.039620627196,93.6034896235849,92.0405792388143,134.349270706215,51.6118229991608,81.676611539822,493.704969744498,567.116917050544,717.014754791634,632.160075000482,172.386173670912,98.6150977474467,3.66246105374876,0,0,0,1,1,1,1,0.953620231246948,0.89636869653219,0.848483641170477,0.809680799191108,0.778097997804056,0.74305749997077,0.643980267971193,0.574833306310792,0.525378253695671,0.488574553755968,0.460235337031252,0.43779447417236,0.404590768944009,0.38125920161191,0.363995974706001,0.33896134472984,0.300256438806147,0.258694031236611,0.220930175407015,0.188380030821795,0.162429720455475,0.141494334262925
"SCSC","q15",33,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.0800474414132,74.1225166370841,182.227596653938,247.464769658251,487.128716343957,505.872768046068,394.893742989037,129.937507067761,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0.998858362061033,0.948182221729338,0.859555113237949,0.776860560252936,0.711370585078144,0.659561429600661,0.583379621289728,0.530422526586296,0.464733249510519,0.384876028185914,0.317848081388365,0.263109299250868,0.221084897285224,0.188380030821795,0.162429720455475,0.141494334262925
