"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin"
"1","q15",33,10,167.82337,139.6569,1,0,-0.006500244140625
"2","q15",33,11,59.05655,12.06851,1,0,29.1581211090088
"3","q15",33,12,108.33727,33.60919,1,0,25.8635883331299
"4","q15",33,13,113.17115,268.5714,1,0,0.753668129444122
"5","q15",33,15,39.03274,9.608266,1,0,11.6568660736084
"6","q15",33,16,49.30183,14.72575,1,0,9.62138557434082
"7","q15",33,4,356.54876,1697.509,1,0,-0.00260162353515625
"8","q15",33,5,118.81891,117.8895,1,0,0.005828857421875
"9","q15",33,6,225.62393,162.7124,1,0,16.1612777709961
"10","q15",33,7,364.30541,415.6383,1,0,0.0004730224609375
"11","q15",34,10,130.87999,167.82337,2,0,1.24591064453125
"12","q15",34,12,25.0209,108.33727,2,0,20.3812274932861
"13","q15",34,13,81.937591,113.17115,2,0,8.63208103179932
"14","q15",34,15,4.53818,39.03274,2,0,15.9315452575684
"15","q15",34,16,5.328691,49.30183,2,0,6.07514619827271
"16","q15",34,24,53.93023,24.35325,1,0,7.68246412277222
"17","q15",34,7,59.82998,364.30541,2,0,5.89784240722656
"18","q15",35,10,15.69605,130.87999,3,0,-0.103446960449219
"19","q15",35,12,6.086331,25.0209,3,0,24.068660736084
"20","q15",35,13,26.252383,81.937591,3,0,0.136540144681931
"21","q15",35,24,10.90584,53.93023,2,0,2.80181741714478
"22","q15",35,8,94.653485,157.669356,3,0,-0.318749248981476
"23","q16",33,3,1181.327039,5744.417,1,0,-0.0209128316491842
"24","q16",33,4,315.58166,369.0252,1,0,-0.0209121704101562
"25","q16",34,3,682.489441,1181.327039,2,0,3.814697265625e-05
"26","q16",34,4,244.99186,315.58166,2,0,-0.050213523209095
"27","q16",35,3,120.2656577,682.489441,3,0,0.693290710449219
"28","q16",35,4,110.617112,244.99186,3,0,-0.0439376831054688
"29","q17",33,3,441.57749,5576.098,1,0,-0.040449034422636
"30","q17",33,4,162.2573,201.2393,1,0,35.8942108154297
"31","q17",33,6,144.50521,523.9833,1,0,5.12228727340698
"32","q17",34,3,16.64805,441.57749,2,0,0.00431317882612348
"33","q17",34,6,78.834,144.50521,2,0,3.59236907958984
"34","q18",33,3,976.67261,2329.357,1,0,-0.0172290839254856
"35","q18",33,4,668.12485,854.6239,1,0,-0.0565748624503613
"36","q19",33,4,23.87518,25.81325,1,0,7.34597778320312
"37","q19",33,6,224.2078,327.8586,1,0,15.1283493041992
"38","q19",33,7,51.82649,405.105,1,0,-0.0539439916610718
"39","q19",33,8,34.35972,192.846,1,0,17.1882190704346
"40","q19",33,9,39.66792,136.931,1,0,7.62805938720703
"41","q19",34,11,17.94834,124.6698,1,0,31.2947254180908
"42","q19",34,12,20.52291,16.11205,1,0,20.0914916992188
"43","q19",34,6,16.23063,224.2078,2,0,14.4362163543701
"44","q19",34,7,51.529801,51.82649,2,0,-0.0238364562392235
"45","q19",34,8,15.48103,34.35972,2,0,17.4504203796387
"46","q19",34,9,33.54076,39.66792,2,0,8.83398056030273
"47","q20",33,10,267.96999,766.12,1,0,-0.0180892944335938
"48","q20",33,11,95.11291,14.00025,1,0,17.8662052154541
"49","q20",33,12,624.80642,701.4971,1,0,0.005353894084692
"50","q20",33,14,402.7387,295.4768,1,0,-0.030548095703125
"51","q20",34,10,183.150003,267.96999,2,0,-0.00402069091796875
"52","q20",34,11,218.065,95.11291,2,0,10.4507684707642
"53","q20",34,12,426.357502,624.80642,2,0,0.000736067071557045
"54","q20",34,14,27.4675,402.7387,2,0,-0.0242080688476562
"55","q20",34,15,126.2925,374.5265,1,0,35.5854263305664
"56","q20",34,17,27.6225,11.54538,1,1,-0.0242143739014864
"57","q20",35,10,189.307492,183.150003,3,0,12.3499984741211
"58","q20",35,11,181.63858,218.065,3,0,9.85000038146973
"59","q20",35,12,87.137717,426.357502,3,0,2.45000004768372
"60","q20",35,14,124.422801,27.4675,3,0,0.649999976158142
"61","q20",35,15,33.02784,126.2925,2,0,37.7999992370605
"62","q20",35,17,66.81531,27.6225,2,1,0.0500000007450581
"63","q20",36,10,10.9178,189.307492,4,0,8.02698230743408
"64","q20",36,11,13.04189,181.63858,4,0,9.81080722808838
"65","q20",36,12,10.24033,87.137717,4,0,4.2158317565918
"66","q21",34,12,97.261347,642.2783,3,0,26.8936157226562
"67","q21",34,13,8.033116,81.6972,3,0,19.8242111206055
"68","q21",34,14,15.010827,99.81779,3,0,3.89619445800781
"69","q21",34,19,40.431318,159.8814,3,0,0.00501251220703125
"70","q21",34,20,74.657402,209.66216,3,0,3.19863128662109
"71","q21",34,21,9.276929,34.39502,3,0,30.5252265930176
"72","q21",34,23,168.811552,254.616,3,0,15.8899402618408
"73","q21",34,27,47.110256,135.8093,3,0,15.0928239822388
"74","q21",34,33,1.7822009,23.37817,1,1,-0.018341064453125
"75","q21",34,34,5.24146,45.83128,1,0,0.0016021728515625
"76","q21",34,35,9.108979,32.68296,1,0,0.016082763671875
"77","q21",34,7,23.129766,151.95044,3,0,-0.0211868286132812
"78","q21",34,8,7.655911,253.1516,3,0,-0.00760650634765625
"79","q21",34,9,29.4352691,223.1304,3,0,11.396354675293
"80","q21",35,12,98.460511,97.261347,4,0,25.1500701904297
"81","q21",35,13,26.27057,8.033116,4,0,31.5555725097656
"82","q21",35,14,15.275813,15.010827,4,0,8.49906921386719
"83","q21",35,19,40.387986,40.431318,4,0,3.98435974121094
"84","q21",35,20,75.682807,74.657402,4,0,3.20271301269531
"85","q21",35,23,120.217641,168.811552,4,0,14.2330627441406
"86","q21",35,27,41.859469,47.110256,4,0,3.73252105712891
"87","q21",35,33,1.850706,1.7822009,2,0,6.14006805419922
"88","q21",35,34,9.971718,5.24146,2,0,4.53775024414062
"89","q21",35,35,25.09056,9.108979,2,0,3.43227386474609
"90","q21",35,36,12.2757,2.687862,1,0,10.3184967041016
"91","q21",35,7,41.323239,23.129766,4,0,2.01189422607422
"92","q21",35,8,7.085461,7.655911,4,0,2.42677307128906
"93","q21",35,9,14.954692,29.4352691,4,0,5.42708587646484
"94","q21",36,12,11.7222,98.460511,5,0,24.3476943969727
"95","q21",36,13,17.00704,26.27057,5,0,27.5186977386475
"96","q21",36,35,22.76054,25.09056,3,0,-0.212532982230186
"97","q21",62,38,18.05581,34.08208,1,0,8.07094478607178
"98","q21",63,38,20.16332,18.05581,2,0,7.59246444702148
"99","q21",64,38,127.9302,20.16332,3,0,9.70650386810303
"100","q21",65,38,195.8497,127.9302,4,0,5.78941822052002
"101","q21",65,40,104.3322,26.56285,1,0,14.7623748779297
"102","q21",66,38,127.1937,195.8497,5,0,4.54795265197754
"103","q21",66,41,76.01112,27.5804,1,0,18.6240463256836
"104","q21",67,38,81.52602,127.1937,6,0,1.92882430553436
"105","q21",67,41,41.02057,76.01112,2,0,15.4322357177734
"106","q21",67,42,176.6248,36.5278,1,0,0.0199737548828125
"107","q21",67,43,49.97115,29.38654,1,0,-0.0239105224609375
"108","q22",34,15,20.270996,214.0771,3,0,-0.002471923828125
"109","q22",34,2,118.11211,249.820432,3,0,5.93463897705078
"110","q22",34,26,276.20195,426.9493,3,0,13.7117080688477
"111","q22",34,28,161.618557,885.5659,3,0,0.00215004710480571
"112","q22",34,31,78.652816,74.478041,3,0,3.19390106201172
"113","q22",34,4,19.17638,68.109546,3,0,10.6163101196289
"114","q22",34,6,55.152396,211.1223,3,0,-0.005126953125
"115","q22",34,7,71.10387,218.1765,3,0,0.691983163356781
"116","q22",35,15,38.176091,20.270996,4,0,4.72239685058594
"117","q22",35,2,42.4418773,118.11211,4,0,13.0880889892578
"118","q22",35,26,154.213271,276.20195,4,0,11.6658706665039
"119","q22",35,28,145.0383314,161.618557,4,0,0.493403911590576
"120","q22",35,31,41.553268,78.652816,4,0,3.39980316162109
"121","q22",35,4,1.905505,19.17638,4,0,15.712043762207
"122","q22",35,6,43.2553675,55.152396,4,0,6.52069854736328
"123","q22",35,7,44.959886,71.10387,4,0,1.67697048187256
"124","q22",36,15,7.633999,38.176091,5,0,0.0013580322265625
"125","q22",36,2,53.15183,42.4418773,5,0,10.1292953491211
"126","q22",36,20,60.08549,25.367308,5,0,26.1201095581055
"127","q22",36,26,179.59137,154.213271,5,0,13.3005990982056
"128","q22",36,28,171.502833,145.0383314,5,0,-0.0930321961641312
"129","q22",36,31,67.77819,41.553268,5,0,5.39836120605469
"130","q22",36,6,13.94232,43.2553675,5,0,7.86756134033203
"131","q22",36,7,36.830617,44.959886,5,0,2.69234013557434
"132","q22",37,15,49.95599,7.633999,6,0,1.39664459228516
"133","q22",37,2,110.33875,53.15183,6,0,9.28286743164062
"134","q22",37,20,102.5135,60.08549,6,0,27.2535247802734
"135","q22",37,26,502.3599,179.59137,6,0,16.1010246276855
"136","q22",37,28,270.18735,171.502833,6,0,7.00351905822754
