"year","pptLag","ppt1","TmeanSum1","ppt2","TmeanSum2"
1917,466,286.59375,24.7109375,171.96875,24.73828125
1918,285.34375,171.96875,24.73828125,421.375,23.546875
1919,633.28125,421.375,23.546875,191.03125,24.2578125
1920,538,191.03125,24.2578125,396.21875,24.3828125
1921,484.1875,396.21875,24.3828125,247.34375,25.3671875
1922,400.65625,247.34375,25.3671875,283.5,23.53125
1923,374.46875,283.5,23.53125,121.03125,25.41796875
1924,381.53125,121.03125,25.41796875,296.90625,23.6640625
1925,358.9375,296.90625,23.6640625,249.15625,24.74609375
1926,550.4375,249.15625,24.74609375,299.28125,24.234375
1927,486.1875,299.28125,24.234375,215.75,24.73828125
1928,302.40625,215.75,24.73828125,331.84375,24.57421875
1929,442,331.84375,24.57421875,275.78125,24.37109375
1930,463.4375,275.78125,24.37109375,454.5625,24.6875
1931,708.65625,454.5625,24.6875,250.125,25.15234375
1932,479.75,250.125,25.15234375,194.125,25.984375
1933,330.96875,194.125,25.984375,225.0625,24.66796875
1934,347.90625,225.0625,24.66796875,312.125,24.6328125
