"","quad","year","trackID","area.t1","area.t0","age","allEdge","distEdgeMin","Group","Grazing"
"29","q22",53,38,110.7239,114.5324,7,0,4.18157863616943,"lb1","No"
"30","q22",53,39,33.76611,49.48795,6,1,-0.142202004790306,"lb1","No"
"31","q22",54,38,182.913,110.7239,8,0,3.08153104782104,"lb1","No"
"32","q22",54,39,117.4518,33.76611,7,0,0.0176391527056694,"lb1","No"
"33","q22",55,38,58.2748,182.913,9,0,1.97573113441467,"lb1","No"
"34","q22",55,39,61.17791,117.4518,8,0,0.00142008962575346,"lb1","No"
"35","q22",56,38,98.61757,58.2748,10,0,4.04952144622803,"lb1","No"
"36","q22",56,39,93.48129,61.17791,9,0,-0.0641351044178009,"lb1","No"
"37","q22",57,38,123.1192,98.61757,11,0,1.70011627674103,"lb1","No"
"38","q22",57,39,54.06153,93.48129,10,0,0.710836350917816,"lb1","No"
"39","q22",58,38,118.578,123.1192,12,0,3.22764873504639,"lb1","No"
"40","q22",58,39,86.77477,54.06153,11,0,-0.0994451344013214,"lb1","No"
"41","q22",58,71,40.96672,9.925756,3,1,0.422843933105469,"lb1","No"
"42","q22",59,38,66.92332,118.578,13,0,4.50391960144043,"lb1","No"
"43","q22",59,39,66.9068,86.77477,12,0,0.00592806981876493,"lb1","No"
"44","q22",59,72,4.143904,20.41358,1,0,20.1202926635742,"lb1","No"
"45","q22",60,38,231.0501,66.92332,14,0,4.70081424713135,"lb1","No"
"46","q22",60,39,216.8127,66.9068,13,0,0.0232260916382074,"lb1","No"
"47","q22",60,72,13.70829,4.143904,2,0,22.5029678344727,"lb1","No"
"48","q22",61,38,183.1562,231.0501,15,0,1.27078437805176,"lb1","No"
"49","q22",61,39,159.0122,216.8127,14,0,-0.0816370919346809,"lb1","No"
"50","q22",61,72,3.510551,13.70829,3,0,22.0994491577148,"lb1","No"
"51","q22",64,38,213.6651,148.8329,18,0,1.32723498344421,"lb1","No"
"52","q22",64,39,187.4948,147.1542,17,0,-0.200606986880302,"lb1","No"
"53","q22",64,73,59.89071,90.74361,6,0,0.0447785183787346,"lb1","No"
"54","q22",65,38,134.9491,213.6651,19,0,-0.00284704472869635,"lb1","No"
"55","q22",65,39,99.39525,187.4948,18,0,-0.0370275564491749,"lb1","No"
"56","q22",65,73,91.02448,59.89071,7,0,-0.42175018787384,"lb1","No"
"57","q22",66,38,121.8204,134.9491,20,0,-0.0205108523368835,"lb1","No"
"58","q22",66,39,114.9485,99.39525,19,0,-0.0995254069566727,"lb1","No"
"59","q22",66,73,77.14977,91.02448,8,0,-0.199417322874069,"lb1","No"
"60","q22",67,38,155.6402,121.8204,21,0,-0.0425459966063499,"lb1","No"
"61","q22",70,38,152.2676,219.5771,24,0,-0.0467231571674347,"lb1","No"
"62","q22",70,39,175.4597,91.441,23,0,-0.000351300608599558,"lb1","No"
"63","q22",70,73,223.3282,118.7177,12,0,0.162665873765945,"lb1","No"
"64","q22",71,38,200.7794,152.2676,25,0,-0.0197919830679893,"lb1","No"
"65","q22",71,39,101.8885,175.4597,24,0,-0.0441439189016819,"lb1","No"
"66","q22",71,73,78.04079,223.3282,13,0,-0.239922627806664,"lb1","No"
"67","q23",44,27,314.854,467.5706,1,0,9.00656032562256,"lb1","No"
"68","q23",45,27,379.9847,314.854,2,0,8.8524112701416,"lb1","No"
"69","q23",46,27,690.9562,379.9847,3,0,5.34137058258057,"lb1","No"
"70","q23",47,27,809.8574,690.9562,4,0,3.35210967063904,"lb1","No"
"71","q23",48,27,718.4116,809.8574,5,0,0.739606499671936,"lb1","No"
"72","q23",48,28,14.99163,16.53938,1,1,-0.226737976074219,"lb1","No"
"73","q23",49,27,1137.711,718.4116,6,0,2.13858914375305,"lb1","No"
"74","q23",49,28,57.33221,14.99163,2,1,-0.943916320800781,"lb1","No"
