"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge"
"1","q15",33,19,21.37865,0,1,-0.0235137939453125,1
"2","q15",33,20,19.25692,0,1,-0.0198287963867188,1
"3","q15",33,21,83.92502,0,1,-0.016143798828125,0
"4","q15",33,22,21.99697,0,1,0.0183029174804688,0
"5","q15",33,23,37.37521,0,1,5.10063171386719,0
"6","q15",33,24,24.35325,1,1,7.68246412277222,0
"7","q16",33,5,21.8522,0,1,-0.00289154052734375,1
"8","q18",33,5,170.4292,0,1,8.5836067199707,0
"9","q19",33,10,5.838617,0,1,5.16722106933594,0
"10","q19",33,11,124.6698,1,1,31.2947254180908,0
"11","q19",33,12,16.11205,1,1,20.0914916992188,0
"12","q19",33,13,22.15948,0,1,-0.0755648389458656,1
"13","q20",33,15,374.5265,1,1,35.5854263305664,0
"14","q20",33,16,167.7945,1,1,-0.00402202643454075,0
"15","q20",33,17,11.54538,1,1,-0.0242143739014864,1
"16","q21",34,36,2.687862,1,1,10.3184967041016,0
"17","q21",34,37,4.621192,0,1,16.0237503051758,0
"18","q21",62,39,9.168869,1,1,30.8242645263672,0
"19","q21",64,40,26.56285,1,1,14.7623748779297,0
"20","q21",65,41,27.5804,1,1,18.6240463256836,0
"21","q21",66,42,36.5278,1,1,0.0199737548828125,0
"22","q21",66,43,29.38654,1,1,-0.0239105224609375,0
"23","q21",67,44,11.25822,1,1,14.5397262573242,0
"24","q22",35,37,3.529583,0,1,0.56158447265625,1
"25","q22",46,38,27.61364,1,1,5.03554153442383,0
"26","q22",47,39,10.64289,1,1,0.373510181903839,1
"27","q22",50,40,1.028995,0,1,7.74778747558594,0
"28","q22",50,41,1.122051,0,1,22.2509155273438,0
"29","q22",50,42,4.322227,0,1,22.6013946533203,0
"30","q22",50,43,6.401705,1,1,9.89316558837891,0
"31","q22",50,44,1.998455,0,1,15.6758117675781,0
"32","q22",50,45,6.043396,1,1,13.9311904907227,0
"33","q22",50,46,1.216947,0,1,10.6214141845703,0
"34","q22",50,47,1.711279,0,1,6.21211290359497,0
"35","q22",50,48,4.361379,0,1,8.57086181640625,0
"36","q22",50,49,4.31814,1,1,18.7953414916992,0
"37","q22",50,50,9.958625,0,1,-0.575883030891418,1
"38","q22",50,51,1.841244,0,1,36.2390022277832,0
"39","q22",50,52,1.45792,0,1,5.11132669448853,0
"40","q22",50,53,0.7409354,0,1,11.1434059143066,0
"41","q22",50,54,1.202446,0,1,39.1969184875488,0
"42","q22",50,55,2.352,0,1,39.5246887207031,0
"43","q22",50,56,3.135968,0,1,42.195125579834,0
"44","q22",50,57,1.311479,0,1,3.89968681335449,1
"45","q22",50,58,1.634938,0,1,18.3900146484375,0
"46","q22",50,59,1.597672,1,1,14.2586517333984,0
"47","q22",50,60,1.289394,0,1,5.00656747817993,0
"48","q22",50,61,2.847957,0,1,3.7898268699646,0
"49","q22",50,62,2.053809,0,1,3.47864508628845,0
"50","q22",50,63,1.064968,0,1,2.41174221038818,1
"51","q22",51,64,0.551297,0,1,0.168075561523438,1
"52","q22",51,65,10.14356,0,1,0.230598449707031,1
"53","q22",51,66,8.104637,0,1,4.41535949707031,0
"54","q22",51,67,8.486526,0,1,5.92298126220703,0
"55","q22",51,68,7.470227,0,1,10.1779699325562,0
"56","q22",51,69,5.859862,1,1,6.34738254547119,0
"57","q22",55,70,28.97814,1,1,-0.0741500854492188,1
"58","q22",55,71,6.416821,1,1,0.229362487792969,1
"59","q22",58,72,20.41358,1,1,20.1202926635742,0
"60","q22",58,73,25.95866,1,1,0.179340854287148,1
"61","q22",71,76,0.7251846,0,1,7.79817581176758,0
"62","q22",71,77,0.7251846,0,1,14.2034969329834,0
"63","q23",35,25,17.1506,0,1,13.7265014648438,0
"64","q23",35,26,12.15313,1,1,-0.0061798095703125,1
"65","q23",43,27,467.5706,1,1,9.00656032562256,0
"66","q23",47,28,16.53938,1,1,-0.226737976074219,1
"67","q23",49,29,3.007841,1,1,4.32278823852539,0
"68","q23",50,30,7.374501,1,1,1.71516418457031,0
"69","q23",50,31,6.741023,0,1,5.67029571533203,0
"70","q23",50,32,0.7562237,0,1,3.78461527824402,1
"71","q23",50,33,2.247504,1,1,16.3559894561768,0
"72","q23",50,34,0.7196991,0,1,2.62496280670166,1
"73","q23",50,35,1.93308,0,1,15.1453018188477,0
"74","q23",50,36,1.567639,0,1,17.3116016387939,0
"75","q23",50,37,0.7196993,0,1,7.86539459228516,0
"76","q23",50,38,2.637424,0,1,18.4922866821289,0
"77","q23",50,39,1.251483,0,1,36.6161918640137,0
"78","q23",50,40,1.967326,0,1,1.24599659442902,1
"79","q23",51,41,8.901044,0,1,2.98200225830078,0
"80","q23",51,42,9.836246,1,1,5.81759643554688,0
"81","q23",51,43,6.911193,0,1,12.1127014160156,0
"82","q23",51,44,13.50972,0,1,0.0412368774414062,1
"83","q23",51,45,6.485992,0,1,28.9428958892822,0
"84","q23",55,46,0.7163137,0,1,6.66055297851562,0
"85","q23",67,48,73.18846,1,1,-0.465286254882812,1
"86","q24",36,26,9.380805,0,1,-1.00469970703125,1
"87","q24",39,27,3.511243,0,1,9.11671924591064,0
"88","q24",39,28,3.033384,0,1,10.0153026580811,0
"89","q24",39,29,3.725453,0,1,1.97632122039795,0
"90","q24",42,31,23.02851,1,1,28.4730472564697,0
"91","q24",48,32,8.367424,0,1,24.9413833618164,0
"92","q24",49,33,6.834736,1,1,15.8178405761719,0
"93","q24",49,34,3.986573,0,1,18.7207946777344,0
"94","q24",50,35,20.51914,1,1,-0.0734312459826469,0
"95","q24",50,36,21.99259,1,1,27.3667144775391,0
"96","q24",50,37,1.868315,0,1,4.17974853515625,0
"97","q24",50,38,7.550363,1,1,25.3361053466797,0
"98","q24",50,39,0.7234629,1,1,22.3915710449219,0
"99","q24",50,40,2.960223,0,1,18.242280960083,0
"100","q24",50,41,1.565503,1,1,13.4081315994263,0
"101","q24",50,42,7.181831,1,1,9.8328914642334,0
"102","q24",51,43,3.673385,0,1,3.63506317138672,0
"103","q24",51,44,3.725662,0,1,0.601371765136719,1
"104","q24",51,45,1.929765,0,1,22.2231216430664,0
"105","q24",51,46,4.082952,0,1,34.5853157043457,0
"106","q24",51,47,7.242308,0,1,39.7481384277344,0
"107","q24",51,48,2.298863,0,1,33.2191009521484,0
"108","q24",51,49,13.76633,0,1,24.5479049682617,0
"109","q24",51,50,3.714303,0,1,8.90724277496338,0
"110","q24",51,51,1.466477,0,1,33.470817565918,0
"111","q24",51,52,2.007372,0,1,36.1012229919434,0
"112","q24",51,53,2.038393,0,1,10.1875457763672,0
"113","q24",51,54,1.6532,0,1,31.4205551147461,0
"114","q24",51,55,2.682201,0,1,8.63991546630859,0
"115","q24",51,56,3.643149,0,1,1.60455989837646,0
"116","q24",51,57,3.175154,0,1,4.71613454818726,0
"117","q24",51,58,3.350524,0,1,22.8387622833252,0
"118","q24",51,59,7.722122,0,1,21.280574798584,0
"119","q24",51,60,6.155619,0,1,8.04601955413818,0
"120","q24",51,61,3.870652,1,1,20.0607833862305,0
"121","q24",51,62,11.30885,1,1,11.1258029937744,0
"122","q24",51,63,3.696807,0,1,10.3306512832642,0
"123","q24",51,64,16.26051,0,1,2.65176224708557,0
"124","q24",51,65,3.835098,1,1,3.3304431438446,0
"125","q24",53,66,5.975759,1,1,0.700195670127869,1
"126","q24",54,67,11.52892,0,1,10.366247177124,0
"127","q24",58,68,15.91862,1,1,9.94060516357422,0
"128","q24",58,69,11.97126,0,1,13.9739646911621,0
"129","q24",58,70,13.46346,1,1,6.47336769104004,0
"130","q24",58,71,4.128656,1,1,5.96687412261963,0
"131","q24",58,72,13.47633,0,1,-0.0439116433262825,1
"132","q24",65,73,0.6769248,1,1,15.651985168457,0
"133","q24",65,74,0.6769248,0,1,3.76204681396484,1
"134","q24",67,75,9.541923,0,1,7.55804443359375,0
"135","q24",67,76,11.3484,0,1,0.866653442382812,1
"136","q25",35,19,5.37494,0,1,0.0488615967333317,1
"137","q25",39,20,11.3674,0,1,13.9927968978882,0
"138","q26",35,2,9.09154,0,1,18.010986328125,0
"139","q26",35,3,18.64314,0,1,6.30522918701172,0
"140","q26",42,5,10.59995,0,1,2.14906311035156,0
"141","q27",39,28,2.671208,0,1,2.65245819091797,1
"142","q27",39,29,2.788628,0,1,3.58901643753052,0
"143","q27",39,30,11.27477,0,1,43.819206237793,0
"144","q27",39,31,13.9553,0,1,32.4582595825195,0
"145","q28",34,21,9.56225,0,1,0.203102111816406,1
"146","q28",34,22,48.65754,0,1,3.75199890136719,0
"147","q28",34,23,5.137727,0,1,7.19441223144531,0
"148","q28",34,24,12.31536,0,1,21.8601760864258,0
"149","q28",34,25,16.75027,0,1,28.1980743408203,0
"150","q28",34,26,5.735596,0,1,30.4689025878906,0
"151","q28",34,27,23.84873,0,1,31.1008605957031,0
"152","q28",34,28,17.50223,0,1,34.3686370849609,0
"153","q28",34,29,72.72318,0,1,26.440788269043,0
"154","q28",34,30,6.609367,0,1,25.0615615844727,0
"155","q28",34,31,4.139535,0,1,21.5355453491211,0
"156","q28",34,32,3.521637,0,1,5.51765823364258,0
"157","q28",34,33,5.77632,0,1,0.71433699131012,1
"158","q29",35,14,19.01321,0,1,18.7052001953125,0
"159","q29",38,15,5.334573,0,1,16.9844131469727,0
"160","q29",38,16,2.805519,0,1,14.1404190063477,0
"161","q29",38,17,4.384,0,1,15.2951583862305,0
"162","q29",38,18,10.77697,0,1,6.59924745559692,0
"163","q29",38,19,6.997382,0,1,11.4036655426025,0
"164","q3",71,94,299.2006,0,1,0.140586853027344,0
"165","q30",35,12,4.889384,0,1,0.65618097782135,1
"166","q30",36,13,7.151419,1,1,14.1052093505859,0
"167","q30",37,14,16.1612,0,1,0.0103836059570312,0
"168","q30",37,15,5.366856,0,1,5.87297058105469,0
"169","q30",37,16,3.439162,0,1,6.37970781326294,0
"170","q30",37,17,3.076851,0,1,4.99305152893066,0
"171","q30",38,18,0.7266602,0,1,4.83843994140625,0
"172","q30",38,19,2.53812,0,1,12.7886276245117,0
"173","q30",38,20,1.911098,0,1,9.92708015441895,0
"174","q30",39,21,2.118635,0,1,12.3051042556763,0
"175","q30",42,22,13.56078,0,1,3.09363007545471,0
"176","q30",46,23,26.80563,0,1,11.6387634277344,0
"177","q30",51,24,3.553927,0,1,19.9320487976074,0
"178","q30",52,25,9.57902,0,1,3.70463633537292,0
"179","q30",52,26,13.04124,0,1,-0.00757366931065917,0
