"quad","year","SP_ID","x","y","GenID"
"q15",33,"4","37.10268","74.19932","4"
"q15",33,"5","95.43631","78.87169","5"
"q15",33,"6","71.94769","73.90574","6"
"q15",33,"7","87.12778","56.24181","7"
"q15",33,"8","14.79242","27.15486","8"
"q15",33,"9","27.19678","45.18337","9"
"q15",33,"10","94.60489","33.96136","10"
"q15",33,"11","67.01402","30.91644","11"
"q15",33,"12","49.08564","29.40919","12"
"q15",33,"13","76.42659","15.12624","13"
"q15",33,"14","26.40274","15.59447","14"
"q15",33,"15","57.27438","13.75684","15"
"q15",33,"16","61.47766","11.72291","16"
"q15",33,"17","29.43554","10.22649","17"
"q15",33,"18","18.67343","8.647632","18"
"q16",33,"3","28.29634","81.21731","3"
"q16",33,"4","77.02528","6.288227","4"
"q17",33,"3","63.25985","81.20233","3"
"q17",33,"4","56.25312","46.3734","4"
"q17",33,"5","95.91268","49.30207","5"
"q17",33,"6","74.20137","20.74998","6"
"q18",33,"2","80.33666","96.5176","2"
"q18",33,"3","66.9109","49.19236","3"
"q18",33,"4","9.400969","8.445865","4"
"q19",33,"3","34.47634","78.95001","3"
"q19",33,"4","89.19891","72.82639","4"
"q19",33,"5","13.01886","64.96996","5"
"q19",33,"6","26.73136","45.4428","6"
"q19",33,"7","3.361182","14.7494","7"
"q19",33,"8","23.80902","26.07816","8"
"q19",33,"9","21.24194","12.34379","9"
"q20",33,"3","25.1524","97.42151","3"
"q20",33,"4","58.63562","88.66416","4"
"q20",33,"5","11.65417","86.88602","5"
"q20",33,"6","76.76923","82.39552","6"
"q20",33,"7","44.52155","85.72903","7"
"q20",33,"8","96.76936","64.51588","8"
"q20",33,"9","70.74706","64.24517","9"
"q20",33,"10","81.13025","31.40577","10"
"q20",33,"11","19.79813","31.42385","11"
"q20",33,"12","28.21613","9.002357","12"
"q20",33,"13","17.15712","25.93568","13"
"q20",33,"14","70.93323","3.743159","14"
"q21",32,"3","6.193092","99.09592","3"
"q21",32,"4","42.33736","97.97066","4"
"q21",32,"5","87.65997","98.01533","5"
"q21",32,"6","96.89538","96.51033","6"
"q21",32,"7","16.60709","91.53057","7"
"q21",32,"8","55.68499","83.57851","8"
"q21",32,"9","90.54037","77.08282","9"
"q21",32,"10","66.7466","77.01182","10"
"q21",32,"11","79.4997","75.73251","11"
"q21",32,"12","45.13131","63.55494","12"
"q21",32,"13","19.724","66.25567","13"
"q21",32,"14","87.1233","63.08018","14"
"q21",32,"15","30.82783","62.68274","15"
"q21",32,"16","28.63816","44.43489","16"
"q21",32,"17","84.84327","43.78153","17"
"q21",32,"18","72.88043","46.89699","18"
"q21",32,"19","94.70216","38.49059","19"
"q21",32,"20","18.69309","26.44786","20"
"q21",32,"21","57.69316","32.62066","21"
"q21",32,"22","39.58929","33.71453","22"
"q21",32,"23","75.23238","23.30346","23"
"q21",32,"24","87.74963","25.0839","24"
"q21",32,"25","48.2099","20.53436","25"
"q21",32,"26","59.41502","18.67188","26"
"q21",32,"27","38.05608","10.22908","27"
"q21",32,"28","75.13282","13.8555","28"
"q21",32,"29","60.1916","12.09758","29"
"q21",32,"30","58.30644","1.889587","30"
"q21",32,"31","69.25522","0.7511477","31"
"q21",32,"32","84.94695","0.5784757","32"
"q22",32,"1","6.596762","98.86081","1"
"q22",32,"2","43.22216","77.58922","2"
"q22",32,"3","87.44987","90.31304","3"
"q22",32,"4","57.46486","72.90446","4"
"q22",32,"5","74.86597","82.55898","5"
"q22",32,"6","89.84596","75.86283","6"
"q22",32,"7","9.096657","73.7414","7"
"q22",32,"8","27.06692","71.66827","8"
"q22",32,"9","46.38729","71.67697","9"
"q22",32,"10","74.50529","61.37796","10"
"q22",32,"11","35.48149","71.33841","11"
"q22",32,"12","26.57975","61.92811","12"
"q22",32,"13","94.38771","61.64721","13"
"q22",32,"14","47.2579","61.81007","14"
"q22",32,"15","97.27018","50.01576","15"
"q22",32,"16","7.892953","50.18328","16"
"q22",32,"17","23.47464","49.64667","17"
"q22",32,"18","43.33725","50.50229","18"
"q22",32,"19","94.76657","47.97461","19"
"q22",32,"20","32.77446","43.08534","20"
"q22",32,"21","9.096928","43.33018","21"
"q22",32,"22","41.15261","42.15314","22"
"q22",32,"23","66.9821","42.2992","23"
"q22",32,"24","77.59589","42.00702","24"
"q22",32,"25","77.73656","37.89909","25"
"q22",32,"26","61.27453","23.51895","26"
"q22",32,"27","18.6591","34.83888","27"
"q22",32,"28","9.64637","29.71604","28"
"q22",32,"29","1.32661","29.47869","29"
"q22",32,"30","33.52514","29.50272","30"
"q22",32,"31","88.41041","23.14702","31"
"q22",32,"32","13.18406","15.04462","32"
