"","quad","year","trackID","area","survives","age","distEdgeMin","allEdge","seedling","QuadName","Grazing","paddock","Group","Treatment"
"1","Q1",2014,1,27.524940915213,1,1,30.8056,0,0,"E1 Q1","UG",NA,"E1","Control"
"2","Q19",2007,4,217.36189856249,1,1,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"3","Q19",2007,1,57.269349290676,1,1,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"4","Q19",2007,3,362.754107313743,1,1,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"5","Q19",2007,2,67.8939492227805,1,1,9.26987099999999,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"6","Q19",2008,4,195.250537911715,1,2,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"7","Q19",2008,3,540.006712443432,1,2,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"8","Q19",2008,2,125.479754840122,1,2,7.14590099999999,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"9","Q19",2009,2,217.760329461375,1,3,2.396461,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"10","Q19",2009,4,324.864068148037,1,3,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"11","Q19",2009,3,683.553560620507,1,3,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"12","Q19",2009,1,142.485545496672,1,3,1.16891099999999,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"13","Q19",2010,2,231.576975471064,1,4,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"14","Q19",2010,3,280.504457673631,1,4,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"15","Q19",2010,4,378.274590474767,1,4,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"16","Q19",2010,1,169.540228408513,1,4,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"17","Q19",2011,1,171.619178411954,1,5,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"18","Q19",2011,4,324.154787043757,1,5,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"19","Q19",2011,3,318.138752868593,1,5,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"20","Q19",2011,2,299.374764987149,1,5,4.994832,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"21","Q19",2012,2,292.326169075649,1,6,3.05201600000001,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"22","Q19",2012,1,85.247371042746,1,6,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"23","Q19",2012,4,103.348783001933,1,6,0.0141249999999928,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"24","Q19",2012,3,406.458427885378,1,6,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"25","Q19",2013,3,427.302297963722,1,7,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"26","Q19",2013,4,286.587163604736,1,7,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"27","Q19",2013,1,47.4408525082445,1,7,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"28","Q19",2013,2,400.645974671233,1,7,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"29","Q19",2014,1,171.556114522579,1,8,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
"30","Q19",2014,3,482.028170211836,1,8,0,0,0,"P7 E1 Q1","UG",NA,"P7E1","Control"
