"","year","month","Ppt","Tmid"
"1",1893,1,1.3,2.78
"6",1893,3,0,6.06
"7",1893,4,5.1,13.39
"8",1893,5,79,17.78
"9",1893,6,90.2,22.06
"10",1893,7,70.9,23.39
"11",1893,8,132.1,21.22
"12",1893,9,67.3,20.83
"2",1893,10,7.6,12.11
"3",1893,11,2.5,3.61
"4",1893,12,19.1,2.44
"13",1894,1,0,-3.22
"17",1894,2,24.1,-4.56
"18",1894,3,0,7
"19",1894,4,47,14.44
"20",1894,5,41.9,18
"21",1894,6,99.1,23.33
"22",1894,7,16.5,25.78
"23",1894,8,0,24
"24",1894,9,41.9,18
"14",1894,10,17.8,13.94
"15",1894,11,1.3,4.72
"16",1894,12,1.8,-0.22
"25",1895,1,7.6,-6.56
"29",1895,2,49.5,-5.78
"30",1895,3,2.5,5.5
"31",1895,4,30.5,12.33
"32",1895,5,5.6,17.06
"33",1895,6,20.3,20.89
"34",1895,7,65.8,22.22
"35",1895,8,111.8,22.56
"36",1895,9,6.6,21.61
"26",1895,10,97.8,10.67
"27",1895,11,8.9,3
"28",1895,12,7.6,-0.89
"37",1896,1,12.7,0.22
"53",1896,2,0,2.39
"57",1896,3,11.4,1.11
"61",1896,4,115.8,11.89
"65",1896,5,76.5,20.11
"69",1896,6,157.2,25.11
"73",1896,7,41.7,26.44
"77",1896,8,49.5,26.33
"84",1896,9,124.5,19.06
"43",1896,10,95.3,12.11
"47",1896,11,0,3.11
"51",1896,12,7.6,6.89
"85",1897,1,5.1,3.06
"89",1897,2,12.7,3.44
"90",1897,3,40.6,9.56
"91",1897,4,201.2,13.67
"92",1897,5,38.1,18.89
"93",1897,6,78.7,23.78
"94",1897,7,71.9,26.11
"95",1897,8,56.4,25.89
"96",1897,9,67.6,23.22
"86",1897,10,19.1,17
"87",1897,11,27.9,7
"102",1898,3,6.4,3.33
"103",1898,4,60.5,10.89
"104",1898,5,264.7,15.11
"105",1898,6,45,22.56
"106",1898,7,59.9,25.06
"107",1898,8,35.6,25.56
"108",1898,9,183.1,19.56
"98",1898,10,50.8,11.22
"99",1898,11,50.8,2.89
"100",1898,12,16.5,-1.83
"109",1899,1,0,-1.11
"113",1899,2,5.1,-6.78
"115",1899,4,11.4,11.22
"116",1899,5,53.3,18.11
"117",1899,6,153.2,22.33
"119",1899,8,14,26.67
"120",1899,9,58.4,20.89
"110",1899,10,49.5,15.44
"111",1899,11,2.5,8.56
"112",1899,12,5.6,1.22
"121",1900,1,2.5,1.89
"125",1900,2,34.3,-2
"126",1900,3,0,7.33
"127",1900,4,161.3,11.33
"128",1900,5,87.1,17.28
"129",1900,6,85.6,23.22
"130",1900,7,78,25.5
"131",1900,8,87.9,27.44
"132",1900,9,75.7,20.67
"122",1900,10,32,15.67
"123",1900,11,19.1,4.67
"124",1900,12,17.8,1.11
"137",1901,2,36.8,-4.28
"138",1901,3,31.8,4.11
"139",1901,4,141,10.44
"140",1901,5,35.8,15.94
"141",1901,6,38.9,24.78
"142",1901,7,12.7,29.44
"143",1901,8,144,26.56
"144",1901,9,65.5,19.56
"134",1901,10,65,14.33
"135",1901,11,0,5.72
"136",1901,12,34.3,0.5
"145",1902,1,25.4,-1
"149",1902,2,14,-1.89
"150",1902,3,96.5,7.89
"151",1902,4,6.6,11.56
"152",1902,5,108.7,19.56
"153",1902,6,163.6,20.44
"154",1902,7,97.5,24
"155",1902,8,143.3,25.33
"156",1902,9,119.6,17.39
"146",1902,10,49.5,13.67
"147",1902,11,22.4,5.78
"148",1902,12,0,-3.83
"157",1903,1,3.8,-0.44
"161",1903,2,106.7,-4.44
"162",1903,3,26.2,3.72
"163",1903,4,51.1,11.33
"164",1903,5,256,15.44
"165",1903,6,111.8,18.39
"166",1903,7,69.1,24.89
"167",1903,8,115.6,23.5
"168",1903,9,14,17.89
"169",1904,1,2.5,-2.44
"173",1904,2,1.5,-1.56
"174",1904,3,0,6.78
"175",1904,4,22.4,9.72
"177",1904,6,132.1,19.28
"181",1906,1,3.8,1.11
"185",1906,2,9.4,2
"186",1906,3,18.5,-0.06
"187",1906,4,42.4,13.67
"188",1906,5,38.4,18
"189",1906,6,58.2,21.22
"190",1906,7,147.1,22.5
"191",1906,8,72.9,24.22
"192",1906,9,86.1,20.22
"182",1906,10,35.6,11.11
"183",1906,11,2.8,4.44
"184",1906,12,44.7,2.33
"193",1907,1,16.3,-2.56
"197",1907,2,5.6,1.83
"198",1907,3,21.6,9.89
"199",1907,4,15.2,7.28
"200",1907,5,21.1,13.44
"201",1907,6,126.2,21.33
"202",1907,7,232.4,25
"203",1907,8,79.2,24.61
"204",1907,9,44.5,20.5
"194",1907,10,44.7,13.44
"195",1907,11,45.5,4.44
"196",1907,12,0.8,-0.89
"205",1908,1,0,1.44
"209",1908,2,23.4,2.11
"210",1908,3,0,7.39
"211",1908,4,55.4,12.22
"212",1908,5,77.7,16.56
"213",1908,6,152.9,21.72
"214",1908,7,73.7,24
"215",1908,8,148.8,24.11
"216",1908,9,20.6,20.78
"206",1908,10,41.7,12.06
"207",1908,11,90.2,5.39
"208",1908,12,25.4,1.5
"217",1909,1,9.9,-2.56
"221",1909,2,7.1,1.33
